time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSGD00003.chdata,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ
="2026/04/02 16:28:21.660",-0.80097,0.14162,0.55064,0.14152,0.06873,0.04532,-0.71721,0.05866,-0.49012,0.04604,-0.25416,0.87551,19.05549,1.43831,0.15259,-1.09315,874.07385,-1.20098,0.04909,-0.37853
="2026/04/02 16:28:21.680",0.24996,0.29482,0.25017,0.32525,-0.08727,-0.03821,-0.07379,-0.12273,-0.25865,-0.20667,-0.16884,0.77101,14.03066,-1.09456,0.83873,-1.74683,867.34943,-1.38891,-0.14996,0.35641
="2026/04/02 16:28:21.700",-0.49537,0.13094,-0.78098,0.75266,0.07355,0.06652,-0.9946,0.15408,-0.91528,0.37381,-0.1788,0.69843,13.77244,-0.10869,0.62671,-1.03743,862.86627,-0.65892,0.08555,-0.01054
="2026/04/02 16:28:21.720",0.17648,0.12903,0.98188,0.44898,-0.00677,0.00998,-0.32131,0.19025,-0.40643,-0.10361,0.12508,0.16512,12.59624,0.15871,0.95804,-2.44821,855.65057,-0.50519,0.17129,-0.58793
="2026/04/02 16:28:21.740",0.11307,0.08546,-0.55937,0.50448,0.02416,0.04189,-0.03307,-0.09265,-1.22483,-0.03793,0.09877,-0.61433,13.38312,-1.59603,0.9585,-1.6102,849.2522,0.28,-0.16089,0.03244
="2026/04/02 16:28:21.760",0.07588,0.04335,0.05131,0.11031,0.07199,0.11025,-0.58513,0.07396,-0.21692,0.14881,0.3698,-1.14089,16.59531,0.83965,0.71166,-1.91769,846.69714,0.75072,0.09961,-1.02847
="2026/04/02 16:28:21.780",1.10014,0.06554,-0.10344,0.81437,0.20187,0.09867,0.37096,-0.20716,-0.0152,-0.16748,0.33151,-0.80263,18.20873,-1.16272,0.88359,-1.90798,844.5293,0.75202,-0.12264,-0.26232
="2026/04/02 16:28:21.800",0.01168,-0.06856,-1.10152,0.71564,0.0393,0.04421,-0.35394,0.03972,-0.88296,0.08886,0.31036,-0.48707,22.80915,-0.09056,-0.11068,-0.13352,847.55078,1.59472,-0.01713,-0.26894
="2026/04/02 16:28:21.820",0.93941,-0.04053,0.13553,0.07389,-0.05265,-0.07297,-0.03817,0.19434,0.32846,-0.09666,0.71085,-0.97334,23.85192,0.00993,0.33239,-2.29161,850.04468,1.8587,0.16045,-0.77162
="2026/04/02 16:28:21.840",0.54823,-0.0584,-1.06012,0.55014,-0.01201,-0.05483,0.23814,-0.05038,-0.36022,-0.40728,0.67989,-0.93056,24.57878,-1.66087,0.7042,-1.66459,854.23132,2.66087,-0.17963,-0.0822
="2026/04/02 16:28:21.860",0.26673,-0.06199,-0.53844,-0.09539,0.12344,0.03556,-0.40654,-0.03929,0.00438,-0.02451,0.80514,-0.88939,24.86875,1.42199,0.37089,-0.82951,861.13049,2.66195,0.1189,-0.64879
="2026/04/02 16:28:21.880",1.18704,-0.2066,-0.34854,0.21298,-0.03173,0.04425,0.55297,0.04326,0.56219,-0.58321,0.94862,-0.14271,21.90633,-0.79748,0.40679,-1.62347,864.95721,1.93859,-0.07706,0.05928
="2026/04/02 16:28:21.900",0.013,-0.34021,-1.11556,0.18338,0.03484,0.04655,-0.3016,-0.04984,-0.13518,-0.16248,0.59625,-0.4245,20.54548,-0.03816,-0.03896,0.23278,870.37085,2.46897,-0.02753,-0.15293
="2026/04/02 16:28:21.920",0.57775,-0.18837,0.39203,0.02501,-0.12547,-0.03385,0.07849,0.03919,0.78536,-0.46779,0.60477,-0.73969,15.63501,0.79065,0.12026,-0.15788,873.04205,1.86791,0.21123,-0.43083
="2026/04/02 16:28:21.940",0.71762,-0.3179,-0.81807,-0.50186,-0.0134,0.02967,0.25163,-0.15194,0.43155,-0.25265,0.1344,-0.55878,11.46699,-1.368,-0.21346,0.81974,873.31281,1.51859,-0.06331,0.4357
="2026/04/02 16:28:21.960",-0.14774,-0.21975,0.04913,-0.45893,0.03034,0.0266,-0.34022,0.0938,0.28015,0.06407,0.18094,-0.22032,10.66527,1.16141,-0.77821,1.82427,873.81256,1.36013,0.19038,-0.31173
="2026/04/02 16:28:21.980",0.95206,-0.07747,0.52721,-0.51232,-0.09244,-0.03632,0.58024,-0.07639,0.83284,-0.10874,0.20121,-0.03936,8.61202,-0.70064,-0.59706,1.44632,869.97351,0.69108,-0.07406,0.22583
="2026/04/02 16:28:22.000",-0.32563,0.00966,-0.73697,-0.44939,-0.02551,0.02211,0.01237,-0.15189,0.198,0.28366,-0.18884,-0.03366,10.71565,-0.47135,-1.16304,2.82417,867.49982,0.22645,-0.11638,0.54432
="2026/04/02 16:28:22.020",0.22817,0.01603,0.71989,-0.57958,-0.04302,-0.04723,0.10823,0.18176,1.4419,0.34122,-0.12801,0.18467,12.73042,1.17875,-1.20394,2.33934,864.27496,-0.39108,0.1173,-0.02479
="2026/04/02 16:28:22.040",-0.02708,-0.05444,-0.10054,-0.20426,-0.07253,-0.10248,0.59295,-0.08605,0.2296,0.1762,-0.48872,0.56015,15.34018,-1.06911,-0.89265,2.76744,860.75665,-0.88268,-0.14898,0.90008
="2026/04/02 16:28:22.060",-0.69493,-0.05203,0.233,-0.66179,-0.11497,-0.12114,-0.21826,0.14474,0.04919,0.63517,-0.45851,0.39349,20.26822,1.03346,-0.8679,2.48138,861.36371,-1.18538,0.10534,0.17173
="2026/04/02 16:28:22.080",0.20802,0.04336,0.83372,-0.52025,-0.06113,-0.10245,0.70539,-0.06139,0.7874,0.17917,-0.52139,0.59627,23.16733,-0.5511,0.21613,0.52618,860.78064,-1.7486,-0.02119,0.57974
="2026/04/02 16:28:22.100",-1.06816,0.03244,-0.21897,-0.31677,-0.00915,0.05997,0.31829,0.00808,-0.36902,0.3722,-0.72852,0.88789,28.54901,0.13606,-0.59012,2.6452,863.39899,-1.73354,-0.15423,0.59917
