time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSGD00003.chdata,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSGD00004.chdata
="2026/04/02 16:35:37.440",0.5217,-0.04646,0.57143,1.0935,2.11867,-3.24016,-0.89715,0.18073,0.07141,22.97416,-2.6792,0.12813,4.88897,1.38706,0.48882,-1.36791,0.81829,-0.6548,2.05293,864.15863
="2026/04/02 16:35:37.460",0.81475,-0.03662,0.48622,-2.4917,1.37235,-0.80503,0.03091,-0.04127,-0.00535,22.7234,0.14765,-0.26864,0.76877,1.76975,-0.24091,0.78442,0.57148,-0.7667,0.01523,865.7691
="2026/04/02 16:35:37.480",0.1482,-0.13985,-1.26415,4.91821,-0.3516,5.97125,0.00345,0.13059,-0.15637,21.80306,-2.78608,-0.17483,1.83744,1.79444,0.2154,-0.29815,1.29682,-0.68664,-1.78096,866.35364
="2026/04/02 16:35:37.500",2.32497,0.03724,-0.04945,-0.86035,2.25882,-2.6723,0.34795,-0.03778,-0.07229,20.00383,0.27537,-0.09362,2.45574,1.43324,0.31389,-1.34018,0.68042,-0.98648,-3.20408,866.62561
="2026/04/02 16:35:37.520",0.2546,0.3265,-1.53594,1.08102,-0.57119,7.72551,0.64638,0.00787,-0.00741,18.45267,0.03481,-0.46995,-2.08017,2.00255,-0.4626,0.81351,0.78723,-0.56027,-4.81854,867.03369
="2026/04/02 16:35:37.540",2.00905,0.47167,-1.5596,4.32508,0.04859,2.03773,0.73984,-0.03553,-0.07268,17.96137,-0.39778,0.43383,0.16434,0.87679,0.38606,-1.55955,0.5439,-0.63011,-5.085,866.48236
="2026/04/02 16:35:37.560",1.22293,0.33122,-0.98068,-2.82892,0.37105,1.11664,1.13259,-0.11453,-0.14129,16.83655,3.11713,-0.02353,-2.94312,0.98988,-0.19089,0.37347,-0.48903,-0.18411,-4.36836,864.82764
="2026/04/02 16:35:37.580",-0.01681,0.20558,-1.96119,3.13021,-1.68195,5.52341,1.21554,0.07111,0.00518,15.52937,0.47177,-0.05741,-3.97804,0.16678,-0.31693,0.73767,-0.12823,-0.17047,-4.45097,862.71289
="2026/04/02 16:35:37.600",1.32323,0.54151,-0.2119,-0.62007,-0.3116,-3.63603,1.33486,-0.24881,-0.37518,16.04955,3.12098,0.60262,-1.66474,-0.45778,0.11793,-1.20283,-1.2661,-0.22365,-3.4431,861.34229
="2026/04/02 16:35:37.620",-0.82373,0.43894,-1.1454,-4.05481,-1.64284,1.65168,0.67237,0.06069,-0.00019,17.88,2.43108,0.24763,-5.91885,0.46946,-0.79217,0.77076,-1.09608,-0.34709,-1.78547,862.98779
="2026/04/02 16:35:37.640",-0.25105,0.11465,-0.0043,1.78841,-1.57677,-2.85439,0.77278,0.14204,0.12441,19.39882,0.52623,0.22444,-2.4009,-0.63941,0.09704,-0.85649,-0.85833,-0.32891,0.12925,865.65259
="2026/04/02 16:35:37.660",-0.41072,-0.05791,0.73072,-6.40354,-1.0244,-4.39893,0.50336,-0.18452,-0.25671,20.50525,3.48807,0.25503,-1.96775,-0.62,-0.37321,0.59205,-1.33736,-0.39454,1.66971,865.83167
="2026/04/02 16:35:37.680",-2.25369,-0.17356,-0.19902,-0.5974,-2.97901,0.48135,0.22883,0.06109,0.00191,21.9115,-0.58276,0.53404,-2.82392,-1.00708,-0.19668,0.41871,-0.39034,-0.21223,3.25912,869.64722
="2026/04/02 16:35:37.700",-0.38353,-0.09295,1.71768,-1.13731,-0.62676,-6.50466,-0.15367,-0.07523,-0.19419,22.99012,1.15967,-0.27183,2.0256,-1.19261,0.09049,-0.98191,-0.39278,0.05058,4.29112,869.60382
="2026/04/02 16:35:37.720",-1.71145,-0.00006,1.28647,-6.22747,-1.50546,-0.29862,-0.03707,0.11021,0.06622,25.60971,0.12127,0.10193,0.40914,-0.71264,-0.42836,1.08144,0.08736,0.59116,4.64729,867.57489
="2026/04/02 16:35:37.740",-0.71644,0.15074,1.63691,3.6354,-1.24989,-0.37977,-0.47656,0.06503,0.07962,26.27662,-2.52057,-0.40253,2.91113,-1.47792,0.37359,-0.70193,0.62184,0.66234,4.92569,863.59589
="2026/04/02 16:35:37.760",-0.07002,0.18194,1.94409,-3.70288,0.11702,-0.62728,-0.66758,-0.18627,-0.04839,27.24606,0.08592,-0.47933,3.91382,-0.72404,0.03218,0.71293,0.60189,0.92652,3.79233,853.41211
="2026/04/02 16:35:37.780",-0.86383,0.22277,1.02949,0.58256,-0.8423,3.71617,-0.66899,0.04199,0.07692,26.83415,-3.2186,-0.39372,2.75048,-1.15317,0.11316,0.48663,1.01284,0.93628,3.53164,849.21808
="2026/04/02 16:35:37.800",0.61866,-0.22502,1.17153,4.14317,0.83826,0.78156,-0.92221,0.0291,0.05087,21.92317,-1.22979,-0.57619,4.55837,-0.88497,0.42429,-0.65858,0.63511,1.07752,1.39213,841.88702
="2026/04/02 16:35:37.820",0.57989,-0.2133,-0.20446,-1.81321,0.83702,4.71801,-0.6801,-0.05245,0.02348,20.47916,-1.17514,-0.09699,2.91161,0.14586,-0.0437,0.53282,0.37517,0.35398,0.83689,838.77289
="2026/04/02 16:35:37.840",0.3277,-0.30156,0.04824,5.93372,0.96839,2.96234,-0.77902,0.06394,0.07395,16.23134,-2.6608,-0.16805,1.56679,-0.53174,0.50213,-0.84294,0.13005,0.824,-0.61094,843.15961
="2026/04/02 16:35:37.860",1.21404,-0.06578,-0.11109,1.22705,1.33093,1.87214,-0.62209,-0.10594,-0.06692,10.84448,1.20197,0.18035,1.99431,1.12797,0.08224,0.0144,-0.66191,0.59765,-1.43778,844.15875
="2026/04/02 16:35:37.880",0.37268,0.13997,-1.12117,1.2526,0.97441,2.68723,-0.65592,0.15194,0.14777,11.0581,-1.02909,-0.13252,-0.78125,1.14451,0.04523,0.36419,-0.49989,-0.00415,-2.29725,857.72388
="2026/04/02 16:35:37.900",1.04588,0.20561,-0.12971,5.7755,1.01404,-0.56768,-0.23639,0.01634,0.03429,5.3104,0.34119,0.43884,-0.69487,0.88949,0.27359,-0.41078,-1.136,-0.22244,-2.08979,867.68445
="2026/04/02 16:35:37.920",0.23065,0.12294,-1.05877,-3.22834,1.20638,-0.28876,-0.2109,0.09267,-0.07514,5.7522,1.08054,0.16404,-1.58838,2.10697,-0.23162,0.79322,-1.19067,-0.47886,-2.02818,878.17163
="2026/04/02 16:35:37.940",0.06598,0.1211,-0.66106,3.0183,1.24217,-2.19518,0.04308,-0.05538,-0.05017,8.42037,-0.91522,0.17387,-2.63561,1.31919,0.14856,-0.19583,-0.95794,-0.77651,-1.66317,892.67725
="2026/04/02 16:35:37.960",0.26361,0.10535,0.14623,-0.33441,1.08512,-3.88362,0.32332,-0.16639,-0.14677,6.28587,2.2387,0.35231,-1.38495,1.92945,-0.10336,0.34473,-1.25436,-0.96169,-1.07121,892.64941
="2026/04/02 16:35:37.980",-0.77837,0.07319,-0.86741,-3.04356,0.68792,-2.26268,0.88572,0.13925,0.06586,15.33637,-0.29196,0.24694,-2.52208,1.61437,-0.22554,0.49951,-0.35777,-1.25088,-0.79107,897.8562
="2026/04/02 16:35:38.000",0.21873,0.1314,0.45494,1.993,0.58538,-4.57417,0.97209,0.07686,0.03889,18.58574,0.7741,0.0936,-1.85634,1.32143,0.07227,-0.6908,-0.00552,-1.3211,-0.35887,892.82269
="2026/04/02 16:35:38.020",0.09282,0.17297,-0.61279,-5.35059,-0.31967,-1.29633,0.81802,-0.00969,-0.05303,26.40305,1.53782,0.38314,-0.57497,1.59482,-0.22537,0.16929,0.37048,-1.41617,-0.17115,881.07672
="2026/04/02 16:35:38.040",-0.62003,0.16598,0.0286,-0.03007,-0.87444,-1.37136,0.75074,0.01409,-0.02735,37.08286,-0.74567,-0.19496,-1.20166,0.42277,0.10028,-0.68046,1.20202,-1.10742,-0.63916,875.23755
="2026/04/02 16:35:38.060",1.00343,0.04089,0.23962,-0.99756,-1.38205,1.05182,1.56799,-0.00094,-0.12247,37.43147,1.93276,-0.2388,1.00866,0.222,-0.05418,-0.18773,1.08345,-0.87044,-1.38822,855.90881
="2026/04/02 16:35:38.080",-0.12874,0.02627,-0.82404,-3.9213,-1.84047,2.82158,0.68521,-0.15972,-0.22177,46.9364,-0.14923,-0.10625,0.03512,0.17855,-0.16769,-0.34449,1.51118,-0.89921,-1.26882,846.95062
="2026/04/02 16:35:38.100",0.281,0.2848,0.37154,2.72019,-1.82025,1.94138,0.57461,0.00227,-0.198,45.59865,0.66569,-0.42453,0.32811,-0.48559,0.11306,-1.16466,1.17303,-0.02511,-1.66479,837.09961
="2026/04/02 16:35:38.120",0.5328,0.37169,-0.27437,-2.59623,-2.1036,3.67976,0.56337,0.02702,0.01404,42.15879,2.0404,0.14278,0.70038,-0.77275,-0.05724,0.2379,0.8823,0.57498,-1.14925,827.12854
="2026/04/02 16:35:38.140",-0.32661,0.47816,-0.03154,2.67349,-1.63732,2.20643,-0.03024,0.12581,0.05072,42.15866,-0.16235,-0.08156,-0.38679,-1.68391,0.23944,-0.38399,0.46806,0.95588,-0.61642,831.96271
="2026/04/02 16:35:38.160",0.38584,0.31455,0.37953,2.24434,-0.50348,1.32489,0.1347,-0.10327,-0.00121,28.13556,2.24796,0.06129,0.03973,-1.64962,-0.20877,0.3025,-0.30429,1.22395,-0.17877,831.80585
="2026/04/02 16:35:38.180",-0.68067,0.07993,-0.61417,-0.71785,-0.27973,1.31166,-0.52269,0.04953,0.01053,22.9887,0.05022,0.30816,-0.45047,-1.71402,-0.3036,0.37772,-0.73076,1.04205,0.72396,845.07684
="2026/04/02 16:35:38.200",-0.5921,-0.15217,0.31371,4.11279,0.57881,-1.96048,-0.5631,0.06943,0.10334,13.24586,0.33517,-0.04279,-0.80931,-1.80091,0.26318,-0.11938,-1.18779,1.15232,1.05696,859.86273
="2026/04/02 16:35:38.220",-0.87793,-0.22064,0.22717,-1.13296,0.25696,-0.71352,-0.66178,-0.04926,0.01538,1.034,0.57316,0.30265,0.10979,-1.24495,-0.23105,0.57788,-1.5465,0.84281,2.37127,867.16742
="2026/04/02 16:35:38.240",-1.5241,-0.51817,-0.00262,1.23885,0.7652,-3.58682,-0.93732,0.03779,0.10913,0,-2.03097,-0.02985,-0.13767,-1.3601,0.03625,0.22979,-1.31716,0.29707,1.83753,883.69684
="2026/04/02 16:35:38.260",-1.02657,-0.3102,1.54077,0.98293,1.04091,-3.49668,-1.13171,-0.00962,0.0542,0,-0.24425,0.08489,0.76728,-0.77459,-0.04322,0.33206,-1.48822,0.29499,3.35491,886.11169
="2026/04/02 16:35:38.280",-0.89553,-0.53905,0.0816,-2.57873,1.37547,-2.69026,-1.139,0.13832,0.27333,0,-2.53509,-0.17906,1.4288,-0.43555,-0.21183,0.95731,-0.60462,-0.0856,3.668,887.49994
="2026/04/02 16:35:38.300",-0.99802,-0.3428,1.73285,2.13618,1.61367,-4.21333,-0.94172,0.08926,0.18763,0,-2.24509,-0.06459,2.05181,-1.07242,0.28348,0.35538,-0.2131,0.10898,3.18934,885.20209
="2026/04/02 16:35:38.320",0.18474,-0.14366,0.21236,-1.9859,1.47506,-0.58204,-1.10863,-0.03001,-0.04629,0,-1.39394,-0.0252,2.17797,0.10869,-0.10378,0.88983,0.17464,-0.21077,2.55657,871.65424
="2026/04/02 16:35:38.340",-0.43913,-0.37252,0.17338,0.08056,2.18012,-1.82202,-0.90525,0.03137,0.08519,9.44697,-3.02729,-0.4329,2.5361,1.0456,0.24012,-0.02789,1.11209,-0.39345,1.77842,865.46521
="2026/04/02 16:35:37.040",1.43003,0.1141,0.069,,,,0.44035,0.06775,0.30572,17.7392,,,,-0.13738,0.44093,0.04871,-0.39247,-1.05661,-2.25073,860.50452
="2026/04/02 16:35:37.060",0.00718,0.24966,-0.10101,,,,0.82847,0.56687,0.3912,19.66007,,,,2.06854,-0.35341,0.97236,-0.9121,-1.20583,-1.2023,860.01788
="2026/04/02 16:35:37.080",-1.19491,0.02817,-1.60506,,,,0.12656,-0.11812,0.0161,21.63556,,,,2.31815,0.38468,-1.9377,0.47193,-1.27049,-0.59602,859.37555
="2026/04/02 16:35:37.100",1.59517,-0.09687,1.2266,,,,0.71739,-0.08012,-0.15838,22.9465,,,,0.07253,-0.4074,0.54301,-0.42264,-1.23832,-0.29237,860.51953
="2026/04/02 16:35:37.120",-1.61211,0.12241,-1.30569,,,,1.09453,0.03978,-0.02757,23.04168,,,,2.44716,-0.08337,-0.20724,0.81861,-0.93108,0.55636,862.38507
="2026/04/02 16:35:37.140",0.56501,0.2963,0.78806,,,,0.52213,0.01342,-0.13995,22.80044,,,,-0.34974,0.0918,-1.25076,0.86788,-0.3472,0.45693,864.0799
="2026/04/02 16:35:37.160",0.06111,0.58654,0.45087,,,,1.24432,0.03637,0.03319,22.29292,,,,0.72478,-0.78694,0.77378,0.32274,0.00054,0.5067,865.70221
="2026/04/02 16:35:37.180",-0.83857,0.34542,-0.88963,,,,0.53606,-0.01532,-0.14742,21.8852,,,,0.55783,0.41221,-2.05469,1.57883,0.31172,-0.53673,866.98877
="2026/04/02 16:35:37.200",1.74665,0.23739,1.25359,,,,0.70517,-0.16686,-0.16727,20.79912,,,,-2.16602,-0.35889,0.37101,0.18381,0.31173,-1.04364,867.49915
="2026/04/02 16:35:37.220",-1.3646,-0.02121,-1.03185,,,,0.72218,0.12323,0.12116,19.49125,,,,-0.33015,-0.60897,0.26276,0.84291,0.57591,-1.40295,867.46466
="2026/04/02 16:35:37.240",1.26839,-0.06322,0.12772,,,,0.06507,-0.10857,-0.1462,18.51612,,,,-2.68074,0.14104,-1.42359,0.45521,0.7574,-1.21656,867.04004
="2026/04/02 16:35:37.260",-0.04077,-0.06509,0.43108,,,,0.09763,0.06042,0.05564,16.91975,,,,-2.51843,-1.17918,3.08237,-0.58719,1.02124,-0.46765,865.43567
="2026/04/02 16:35:37.280",-1.10179,-0.10756,-1.19067,,,,-0.50838,0.0135,0.2178,16.00207,,,,-1.74198,0.23167,-0.80886,0.01011,0.97159,0.12703,862.75482
="2026/04/02 16:35:37.300",1.17121,-0.05176,1.1318,,,,-0.92606,-0.08883,-0.05227,16.72752,,,,-2.51917,-0.01839,0.18738,-1.14827,1.04557,1.23252,861.19409
="2026/04/02 16:35:37.320",-2.0884,-0.27661,-0.58042,,,,-0.82465,0.04075,0.08915,18.27617,,,,-0.97576,-0.45369,1.68381,-0.83193,1.42099,1.80822,860.58942
="2026/04/02 16:35:37.340",-0.42446,-0.39818,1.20862,,,,-1.31752,-0.05785,0.08123,19.57417,,,,-1.21931,0.41584,-0.85142,-1.01211,1.10644,2.78221,859.95135
="2026/04/02 16:35:38.360",0.97487,-0.36607,0.97081,0.9582,1.77671,0.19929,-0.27551,0.04704,0.08185,17.23031,-0.50477,-0.40998,2.73858,1.02396,0.19385,0.11787,0.95441,-0.10512,-0.53556,850.23572
="2026/04/02 16:35:38.380",0.85608,-0.14744,-1.24549,-1.07622,0.88331,3.61743,0.04823,0.08183,0.12206,31.8619,-1.17118,-0.07172,1.64587,2.09437,-0.02694,0.04111,1.45304,-0.64273,-1.74173,842.31671
="2026/04/02 16:35:38.400",0.82048,0.06981,-0.19442,2.51184,0.61541,2.02947,0.36502,0.0787,0.01915,45.97769,-0.33821,-0.34626,0.86505,2.01194,0.19209,-0.83299,1.59936,-0.57908,-3.27979,842.24414
="2026/04/02 16:35:38.420",1.94458,0.10389,-0.77497,-0.62146,0.09604,4.13529,0.61141,-0.01554,0.02464,49.3611,1.45732,-0.01966,0.18408,1.92558,0.00663,0.26783,0.80936,-0.7103,-4.50404,839.48376
="2026/04/02 16:35:38.440",0.63341,0.14844,-1.97698,1.56619,0.03756,3.07031,0.72127,0.11942,0.01168,56.94578,0.42903,-0.1492,-1.18061,1.54958,0.12303,-0.10427,0.70201,-1.04708,-4.82783,850.4986
="2026/04/02 16:35:38.460",1.10429,0.16413,-0.83093,1.68411,-0.69697,3.00115,0.53603,-0.07073,-0.0672,51.98512,2.60136,0.07154,-2.0576,1.19882,0.10223,-0.16763,-0.16714,-0.91029,-5.91296,859.04987
="2026/04/02 16:35:38.480",1.15516,0.75495,-2.1831,-1.09128,-1.14326,2.24964,0.9207,0.02247,-0.08444,46.16164,1.84594,0.28928,-2.71968,0.80552,-0.1234,0.0837,-0.78293,-1.45315,-4.2725,872.60767
="2026/04/02 16:35:38.500",-0.70336,0.74601,-0.64026,1.54987,-0.96251,-1.10318,0.27314,0.10815,-0.0153,37.25441,2.09664,0.1996,-3.81128,-0.01109,0.05751,-0.60802,-1.11309,-0.70249,-3.43491,889.03998
="2026/04/02 16:35:38.520",0.813,0.69334,-0.79213,-1.58869,-1.49951,-0.3664,1.31917,0.01721,-0.03464,19.30708,2.2686,0.31131,-2.88236,-0.53311,-0.1988,0.33675,-1.49429,-0.57381,-1.75247,895.09418
="2026/04/02 16:35:38.540",-1.16536,0.36855,-1.22313,-1.28934,-0.92116,-3.71468,0.55439,-0.02381,-0.01654,10.24401,0.58138,0.09225,-3.58838,-1.20818,-0.04148,-0.11251,-1.12076,-0.43832,0.45441,902.28802
="2026/04/02 16:35:38.560",-1.17784,0.02802,0.56216,-0.91058,-0.91034,-3.59099,0.33256,-0.06672,-0.12679,0,1.19552,0.43347,-2.47804,-1.93997,-0.08537,-0.08751,-1.23252,0.13487,0.97704,896.55505
="2026/04/02 16:35:38.580",-0.96012,0.09306,-0.51035,-4.10352,-0.35626,-3.97538,0.49905,0.03733,0.04562,0,-0.0264,0.19846,-1.72111,-1.81566,-0.22656,0.39681,-0.8487,-0.02814,2.8581,887.05164
="2026/04/02 16:35:38.600",-1.72858,-0.07673,1.01735,-0.49579,-0.01901,-4.27471,-0.04455,-0.0509,-0.02353,0,-0.61618,0.03737,-0.25429,-1.90135,0.0666,-0.32068,0.08882,0.53366,3.4695,874.56537
="2026/04/02 16:35:38.620",-0.12332,-0.10519,1.8602,-3.34985,-0.37811,-2.10065,-0.25749,-0.07417,-0.12525,0,-0.3613,0.049,1.04652,-2.14676,-0.15474,0.55312,0.14165,0.78884,3.95892,852.2193
="2026/04/02 16:35:38.640",-1.02467,-0.31652,0.56159,-2.21523,-0.41263,-0.65597,-0.44509,-0.07692,-0.08387,3.24491,-2.31131,-0.31572,1.9442,-1.56436,0.09537,0.31184,1.15916,0.74909,4.19332,836.75726
="2026/04/02 16:35:38.660",0.04636,-0.23763,2.01667,-0.83129,-0.43674,0.74264,-0.6256,-0.04084,-0.04974,11.85674,-1.11506,-0.37967,2.88803,-1.65219,0.13625,0.07489,1.35803,0.97795,3.71287,819.00726
="2026/04/02 16:35:38.680",0.40765,-0.20193,0.95584,-2.0314,-0.58678,3.25734,-0.83233,0.00679,0.06586,24.33083,-1.76501,-0.37358,3.39378,-1.3094,-0.08223,0.5635,1.28315,1.11196,2.77255,808.84503
="2026/04/02 16:35:38.700",-0.80224,0.05295,1.10191,2.12448,-0.26367,3.14135,-1.01197,0.00187,0.13953,37.60724,-1.70723,-0.43943,2.86962,-0.93889,0.22006,-0.34798,1.80938,1.10798,1.47363,809.92291
="2026/04/02 16:35:38.720",1.59679,0.14333,0.5884,0.88778,0.08074,4.07962,-0.98328,-0.00259,0.09474,42.21427,-0.46757,-0.02362,2.90632,-0.54109,0.01225,-0.04881,0.62941,1.02638,0.27894,814.56079
="2026/04/02 16:35:38.740",-0.10938,-0.12068,-0.69564,1.98807,0.72432,2.87013,-1.55706,0.10098,0.20245,47.7038,-1.19549,-0.0878,1.42192,0.38241,0.10654,-0.27785,0.74712,0.56083,0.20738,832.56042
="2026/04/02 16:35:38.760",0.61819,-0.20619,0.4457,3.89428,0.99287,1.87365,-0.85555,0.06687,0.16188,42.75735,-0.33936,0.22598,1.59583,-0.37528,0.12244,-0.04538,-0.20057,0.8475,-0.76747,851.63983
="2026/04/02 16:35:38.780",1.08353,-0.1701,-0.80364,1.69576,1.35874,1.85715,-0.53006,0.04312,0.10568,35.08436,-0.58823,-0.03881,-0.03766,-0.18895,-0.02804,0.44617,-0.88401,0.29976,-0.99148,874.3764
