time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSGD00003.chdata,WSGD00004.chdata,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ
="2026/04/02 17:18:57.560",-0.01405,-0.00395,0.00528,-0.00354,0.00239,-0.04432,-0.01533,-0.00451,-0.02116,0.01301,0.00174,-0.00572,0.00795,0.00418,-0.00822,19.83585,860.89252,-0.01071,-0.00033,0.01571
="2026/04/02 17:18:57.580",-0.01094,0.00144,0.00339,-0.00109,0.00504,-0.0422,0.01913,0.00149,-0.00744,0.00424,0.0017,0.01025,0.0058,0.00768,-0.00667,19.54304,861.12567,-0.01324,-0.00544,0.03064
="2026/04/02 17:18:57.600",-0.00993,0.00443,0.0072,-0.00292,0.0031,-0.0339,-0.00032,0.00763,-0.00001,-0.00775,0.00274,0.01707,0.00488,-0.00462,0.0149,19.03771,861.50201,-0.00794,0.00218,0.0222
="2026/04/02 17:18:57.620",-0.00499,0.00432,-0.00741,0.00611,-0.00356,-0.02406,0.02693,0.00429,0.00427,-0.01215,-0.00485,0.0108,0.01498,0.00592,-0.00755,19.47288,862.00293,-0.00922,-0.00205,0.01233
="2026/04/02 17:18:57.640",0.00004,-0.00056,-0.0018,0.01241,0.00414,-0.00394,0.01922,0.00039,-0.01783,-0.00786,0.00348,0.01106,0.00544,-0.00461,-0.01541,19.63383,861.61078,-0.00848,0.00374,0.01098
="2026/04/02 17:18:57.660",-0.00795,-0.00628,-0.01139,0.00746,-0.00179,-0.00871,-0.01332,0.00566,-0.00955,-0.01907,-0.00168,-0.00172,-0.00137,0.0008,0.00465,19.10772,861.06586,-0.01762,0.00402,-0.0055
="2026/04/02 17:18:57.680",0.00452,0.00628,-0.00459,0.00297,0.00248,0.03206,-0.00622,-0.00169,-0.00234,-0.0123,0.00319,0.00932,-0.00523,0.00265,0.01001,18.55914,861.0517,0.00058,-0.00324,-0.02262
="2026/04/02 17:18:57.700",0.00526,0.00401,-0.01594,0.00178,-0.00847,0.03961,0.00775,-0.00731,0.004,-0.01007,-0.00341,0.00647,0.00404,0.0056,-0.01533,17.95004,861.02441,0.00522,-0.0033,-0.03513
="2026/04/02 17:18:57.720",0.00642,-0.0028,-0.00714,0.00126,0.00064,0.04856,0.0142,0.01492,0.00541,0.00099,-0.00385,-0.00258,-0.00127,0.0012,0.00853,18.30003,860.37933,-0.00336,-0.00022,-0.04168
="2026/04/02 17:18:57.740",0.00787,-0.00069,-0.00057,-0.00277,-0.00225,0.01392,-0.00249,0.00122,-0.00742,0.00198,-0.00371,-0.04216,0.00561,0.00264,0.00499,19.11243,859.69604,-0.00061,0.00253,-0.02088
="2026/04/02 17:18:57.760",0.0173,0.00833,-0.01055,-0.00008,-0.00183,0.01421,-0.01027,0.00799,0.00665,0.00842,-0.00059,0.02234,0.00473,0.00295,0.0093,19.34086,859.55756,0.01083,0.00685,-0.01466
="2026/04/02 17:18:57.780",0.01066,0.00409,0.00144,-0.00241,-0.00174,0.01689,-0.0164,-0.00172,0.00604,0.01168,-0.00154,-0.03671,-0.0002,0.00399,0.0022,19.24045,860.18774,0.01064,0.00277,0.00638
="2026/04/02 17:18:57.800",0.00872,-0.0054,-0.00438,-0.01639,-0.00177,-0.00477,0.01362,0.00375,0.00521,0.01344,0.00111,-0.01591,-0.0032,-0.00516,-0.01083,19.62554,860.72723,-0.00139,-0.00938,0.005
="2026/04/02 17:18:57.820",0.00069,-0.00346,0.00258,-0.00695,0.00177,-0.01613,0.00618,0.00494,-0.0073,0.00733,0.00358,-0.00665,-0.00269,-0.0025,-0.0043,20.17825,861.06586,-0.00031,0.00032,-0.00442
="2026/04/02 17:18:57.840",-0.00597,0.00277,0.013,-0.01443,0.00693,-0.04016,-0.0006,-0.00241,0.00245,0.00498,-0.00394,-0.00727,0.00051,-0.00094,-0.00462,20.50779,861.33173,-0.00543,-0.00737,0.02519
="2026/04/02 17:18:57.860",-0.00823,0.00182,0.00362,0.00142,-0.00051,-0.04287,-0.00393,0.00386,0.00112,0.01709,-0.00246,-0.00293,0.00151,0.00184,-0.01057,19.9808,861.55371,-0.00747,-0.00029,0.02265
="2026/04/02 17:18:57.880",-0.00226,0.00696,0.00368,-0.00057,0.00367,-0.04589,0.03905,0.00148,-0.0011,0.00965,0.00566,0.02244,0.0033,0.00669,0.01567,20.0994,861.86902,-0.0125,-0.0016,0.02741
="2026/04/02 17:18:57.900",-0.00953,-0.00127,0.0123,0.0023,0.00124,-0.04865,-0.01203,0.00239,-0.00684,-0.00339,-0.0016,0.03128,0.0096,-0.00889,-0.0142,19.9224,862.06763,-0.01005,-0.00705,0.02856
="2026/04/02 17:18:57.920",-0.00777,0.00232,-0.00819,0.01107,0.00772,-0.0341,-0.00452,-0.00157,0.00676,-0.00245,-0.00494,0.01546,0.00943,0.00654,0.00583,19.65932,861.90356,-0.00407,-0.00228,0.01315
="2026/04/02 17:18:57.940",-0.00025,-0.00633,-0.00632,0.00932,-0.00446,-0.0033,-0.02496,0.00131,-0.00513,-0.00392,0.00322,0.03103,0.00119,0.00128,0.01566,19.26414,861.23639,-0.0068,0.00208,0.01042
="2026/04/02 17:18:57.960",-0.00467,0.00486,-0.01373,0.02156,0.00258,0.02559,0.00063,0.01144,-0.00735,-0.00546,-0.00143,0.0154,0.01434,-0.00224,-0.01845,18.90094,860.86383,-0.00563,0.0061,-0.00538
="2026/04/02 17:18:57.980",0.0101,0.00711,0.00187,0.00842,-0.00188,0.01722,-0.03636,0.01469,0.00449,-0.0138,-0.00848,0.00859,0.00919,0.00041,0.00201,18.85028,860.81677,0.01122,-0.00332,-0.03259
="2026/04/02 17:18:58.000",0.00427,-0.00164,-0.01196,0.01256,-0.0058,0.0305,0.01532,-0.0035,-0.00039,-0.00559,0.00043,0.00151,0.00067,0.00167,-0.01058,19.01062,860.67682,0.00625,0.00223,-0.02834
="2026/04/02 17:18:58.020",0.00886,0.00328,-0.00524,0.0058,-0.0056,0.04848,0.02864,-0.00099,-0.01447,-0.00046,0.00594,0.02411,-0.01182,0.00008,-0.00115,19.34439,860.4234,0.00892,-0.00013,-0.03618
="2026/04/02 17:18:58.040",0.00797,-0.0043,-0.00176,-0.00796,0.00325,0.0389,0.0249,0.00023,0.01052,-0.00492,0.00712,-0.00101,0.00219,0.0041,0.00474,19.10719,860.35315,0.00803,0.00607,-0.02695
="2026/04/02 17:18:58.060",0.00916,-0.00599,-0.00046,-0.00637,0.00121,0.02402,-0.03714,-0.00213,0.00547,0.00051,0.00237,-0.02196,-0.0046,-0.00153,0.00647,18.67148,860.30597,0.00688,0.00452,-0.01258
="2026/04/02 17:18:58.080",0.00172,0.00062,-0.01228,-0.01563,0.00017,0.01373,-0.01091,0.00334,0.01335,0.00821,0.00013,-0.01889,-0.00321,-0.00663,-0.00584,18.9273,860.08667,0.0116,0.00045,-0.00883
="2026/04/02 17:18:58.100",0.00457,0.00508,-0.00286,-0.01215,-0.00116,-0.00487,-0.03033,-0.00741,-0.00322,0.02356,-0.00488,-0.02626,-0.00132,-0.00468,0.00795,20.22772,859.98639,-0.00078,-0.00637,0.01262
="2026/04/02 17:18:58.120",0.00301,-0.0027,0.005,-0.01128,0.0011,-0.01117,0.04819,0.01437,-0.01565,0.01673,0.01148,-0.00046,-0.01259,0.00209,-0.00845,20.77699,860.31488,0.00032,0.00161,0.02339
="2026/04/02 17:18:58.140",-0.00718,0.00284,0.00647,-0.02213,0.00221,-0.02624,-0.00817,-0.00107,-0.00112,0.01407,-0.00202,-0.00946,0.00788,-0.00119,0.007,20.43917,861.04242,-0.00609,-0.00813,0.0292
="2026/04/02 17:18:58.160",-0.00453,-0.00844,0.00514,-0.00426,0.00119,-0.05607,0.01319,0.00277,-0.00657,0.00462,0.00597,0.00217,-0.00601,-0.00202,-0.01095,20.22066,861.27173,-0.01043,-0.00281,0.03605
="2026/04/02 17:18:58.180",-0.00881,-0.00316,-0.00114,-0.00591,-0.00329,-0.02985,-0.03347,-0.00449,-0.00148,0.00832,0.00724,-0.00735,0.00459,0.00327,0.00278,19.60441,860.98956,-0.01691,-0.0019,0.03058
="2026/04/02 17:18:58.200",-0.00692,-0.00023,0.00567,0.00138,0.00087,-0.04259,0.00587,-0.00059,-0.00148,0.00071,-0.00358,0.00893,-0.00216,-0.00049,0.00034,19.97758,861.38678,-0.00796,-0.0035,0.02264
="2026/04/02 17:18:58.220",-0.00596,0.00472,-0.01058,-0.01032,-0.00022,-0.02145,-0.00623,-0.00604,0.0047,-0.01033,0.00398,0.00381,0.00595,0.00298,0.00066,20.67056,861.8844,0.00204,0.00053,0.01422
="2026/04/02 17:18:58.240",-0.00196,0.00643,-0.00248,0.00902,0.00237,-0.00436,0.04071,0.00539,0.01709,-0.01144,-0.00623,0.01025,0.00289,-0.00392,0.00292,19.59849,861.34216,-0.00124,0.00039,-0.00436
="2026/04/02 17:18:58.260",-0.00116,-0.0026,-0.0077,-0.00158,-0.00137,0.01159,-0.01824,0.00272,0.01641,-0.01241,-0.0006,0.00823,-0.00375,0.00808,0.0017,18.48218,861.28101,-0.00027,0.00123,-0.0072
