time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSGD00003.chdata,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSGD00004.chdata
="2026/04/02 16:04:34.020",-0.34267,-0.06812,-0.13454,-0.39567,-0.26834,0.36982,0.05565,-0.02746,-0.02072,21.21305,0.14387,0.01082,-0.00016,0.19826,0.00467,0.02543,-0.13325,0.11509,0.21737,866.33716
="2026/04/02 16:04:34.040",-0.05933,0.02323,0.28768,0.44785,-0.10685,0.17693,-0.10664,0.0066,-0.04891,21.01886,-0.25243,0.11013,-0.04892,0.14264,0.0642,-0.16648,-0.08522,0.08735,0.28767,866.8905
="2026/04/02 16:04:34.060",-0.2334,0.12103,0.18394,-0.58235,0.42713,-0.30933,-0.04702,-0.08687,-0.02394,19.5489,-0.02072,-0.06184,0.12334,-0.07295,-0.02315,0.02193,-0.17899,0.02643,0.24809,866.9397
="2026/04/02 16:04:34.080",-0.12236,0.13219,0.00009,-0.31598,-0.12064,0.43489,0.02946,0.01544,-0.03817,18.16875,-0.21216,-0.03166,-0.24993,0.17829,-0.01741,-0.11172,-0.04224,-0.00876,0.14359,866.57867
="2026/04/02 16:04:34.100",0.17197,0.0589,0.18744,0.17783,-0.23152,-0.08674,0.08156,-0.02517,-0.00226,17.52621,-0.20981,0.06473,0.08218,0.02993,0.03464,-0.06319,-0.15375,-0.01661,0.08257,865.80804
="2026/04/02 16:04:34.120",-0.33364,0.02517,-0.08388,-0.50615,-0.05344,0.09424,-0.02851,-0.01724,0.0027,16.39031,0.02388,-0.02191,0.0548,0.14296,-0.05569,0.1465,-0.08722,-0.03601,0.05676,863.36169
="2026/04/02 16:04:34.140",-0.05062,0.0088,0.36058,0.48564,-0.14556,0.23247,-0.03292,-0.02215,-0.03815,16.84309,-0.29576,-0.02519,-0.03615,0.1729,0.02685,-0.21947,0.02621,-0.00995,-0.01956,862.64856
="2026/04/02 16:04:34.160",0.07626,0.05514,-0.13111,-0.23932,0.10802,0.00768,-0.01602,-0.03275,-0.02659,17.27478,-0.00379,0.0599,0.20928,0.00569,-0.05743,0.05464,-0.07459,0.04154,0.17804,861.58667
="2026/04/02 16:04:34.180",-0.35947,0.05516,0.18115,-0.33978,-0.10233,0.35692,-0.11678,-0.03195,0.0065,17.54622,-0.21344,-0.14932,-0.2239,0.26448,-0.02619,0.05367,0.07665,0.11358,0.24918,860.77411
="2026/04/02 16:04:34.200",0.11815,-0.0523,0.23662,0.18063,-0.03954,-0.56861,-0.08692,-0.0065,-0.02921,19.23347,-0.08191,0.22127,0.09433,-0.07864,-0.00568,-0.05533,-0.06385,0.21945,0.04032,860.70117
