time,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSGD00003.chdata,WSGD00004.chdata,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ
="2026/04/02 15:52:14.300",0.08194,0.01603,-0.0907,0.1511,-0.00704,-0.06386,41.4103,850.38055,0.43446,-0.00874,-0.06203,-0.0806,0.03388,-0.05762,-0.01926,-0.00439,-0.01695,0.00441,0.00028,0.0039
="2026/04/02 15:52:14.320",-0.10316,-0.00061,0.02778,0.36629,0.00219,-0.28603,45.70924,862.65497,0.4335,-0.00465,-0.05549,-0.08304,0.0276,-0.03825,-0.06616,0.00885,-0.03721,-0.01311,0.01061,0.01895
="2026/04/02 15:52:14.340",-0.32856,-0.02708,0.14657,0.52386,0.01114,-0.53178,45.76721,875.17352,0.35418,-0.0028,-0.06623,-0.08874,0.0326,-0.03308,-0.13887,0.00834,-0.04764,0.03431,0.02097,0.01308
="2026/04/02 15:52:14.360",-0.49596,-0.01705,0.26457,0.59117,0.0129,-0.63406,41.5032,885.39044,0.22796,-0.00305,-0.05651,-0.07195,0.0207,-0.02828,-0.22246,0.01835,-0.06568,-0.03097,-0.00171,-0.00506
="2026/04/02 15:52:14.380",-0.51987,0.01669,0.30838,0.56043,0.01476,-0.64716,32.85074,892.20996,0.04448,0.00364,-0.01922,-0.0344,0.01932,-0.02533,-0.1801,0.01147,-0.10032,0.01739,0.00974,0.00211
="2026/04/02 15:52:14.400",-0.53862,-0.01562,0.29701,0.42972,0.01434,-0.5391,22.11086,894.31238,-0.1172,-0.00113,-0.03328,-0.02668,0.00051,0.02,-0.18359,0.01718,-0.0595,0.0242,0.00359,-0.00129
="2026/04/02 15:52:14.420",-0.43175,-0.02649,0.22737,0.22312,0.01076,-0.30036,11.39862,890.90375,-0.27297,0.01117,0.01202,-0.00912,-0.00394,0.04381,-0.11726,0.00421,-0.04597,-0.00565,-0.00541,-0.03528
="2026/04/02 15:52:14.440",-0.21528,-0.00279,0.15691,-0.02095,0.00122,-0.05493,2.761,882.81976,-0.36708,0.00186,0.01475,0.01772,-0.00885,0.02265,-0.02486,0.00953,-0.02463,0.00865,0.00551,-0.01371
="2026/04/02 15:52:14.460",0.00705,0.01147,0.01567,-0.25908,-0.00916,0.22226,0,871.34314,-0.388,-0.0018,0.05731,0.00666,-0.01159,0.05975,0.07226,-0.01706,0.00607,0.02785,0.01739,0.05635
="2026/04/02 15:52:14.480",0.21241,0.00975,-0.13942,-0.43056,-0.01158,0.46469,0,858.32544,-0.33391,0.00108,0.03697,0.03039,-0.02597,0.02147,0.14282,-0.01447,0.03496,-0.00615,0.01405,0.03293
="2026/04/02 15:52:14.500",0.4048,0.01627,-0.24009,-0.52301,-0.00894,0.59583,0,847.26825,-0.23305,-0.00141,0.04279,-0.01437,-0.01069,-0.01321,0.18746,-0.01598,0.04099,0.00665,0.01294,0.01908
="2026/04/02 15:52:14.520",0.48727,0.02406,-0.2903,-0.52017,-0.01985,0.6468,4.28909,839.39697,-0.07206,-0.00448,0.02438,-0.0073,0.01515,0.01299,0.22407,-0.01162,0.04788,-0.02081,0.00168,-0.00928
="2026/04/02 15:52:14.540",0.5064,0.01041,-0.30329,-0.43773,-0.02037,0.53102,14.56682,835.56848,0.11051,-0.00546,0.01139,-0.03819,0.00978,-0.00287,0.1805,-0.01205,0.02645,-0.00038,0.00352,-0.008
="2026/04/02 15:52:14.560",0.42038,0.01849,-0.26967,-0.23894,-0.02058,0.38181,25.67385,836.9762,0.27386,-0.0127,-0.01561,-0.08238,0.0231,-0.02408,0.12489,-0.02291,0.02006,0.02197,-0.00159,-0.02687
="2026/04/02 15:52:14.580",0.26473,0.01863,-0.17269,-0.03019,0.00101,0.13366,35.64581,842.99689,0.38754,-0.00946,-0.02249,-0.09811,0.00826,0.03069,0.05462,0.00174,-0.00428,0.00678,0.00437,-0.01005
="2026/04/02 15:52:14.600",0.03519,0.01469,-0.0348,0.21258,-0.00212,-0.15011,42.35322,853.29614,0.4398,-0.001,-0.04457,-0.05878,0.03856,-0.13867,-0.0388,-0.00024,-0.01572,-0.00804,0.0028,0.00181
="2026/04/02 15:52:14.620",-0.1707,-0.00439,0.0859,0.41892,0.00458,-0.39481,45.29048,865.96313,0.40846,-0.00367,-0.06823,-0.10826,0.03674,-0.03396,-0.12277,0.01044,-0.041,0.00913,0.00381,0.01211
="2026/04/02 15:52:14.640",-0.34725,-0.00327,0.18551,0.5381,0.01426,-0.57287,44.32185,877.99109,0.29286,0.00396,0.01027,-0.06483,0.03347,-0.05096,-0.17723,0.01511,-0.03935,0.01459,0.00765,0.00611
="2026/04/02 15:52:14.660",-0.47791,-0.01498,0.27394,0.579,0.02141,-0.63571,38.44029,887.33752,0.13049,-0.00539,0.04966,-0.04141,0.01852,-0.01676,-0.19789,0.02341,-0.06336,0.00248,0.00108,-0.00174
="2026/04/02 15:52:14.680",-0.52664,-0.00766,0.30665,0.5282,0.00971,-0.60787,29.31639,892.92407,-0.01682,0.01123,-0.08845,-0.03469,0.01983,0.00607,-0.18935,0.01542,-0.06567,0.00748,0.02107,-0.01774
="2026/04/02 15:52:14.700",-0.46913,-0.01937,0.28388,0.35358,0.01948,-0.45113,18.88655,893.40302,-0.16722,0.01602,-0.05183,-0.04212,0.00328,-0.04088,-0.14711,0.0152,-0.03735,0.00276,0.01091,0.0449
="2026/04/02 15:52:14.720",-0.34387,-0.00943,0.21106,0.18352,0.0284,-0.2135,8.7195,888.37653,-0.31156,-0.01135,0.01731,-0.00836,-0.00057,0.00816,-0.05793,-0.00381,-0.02946,0.0053,-0.02124,-0.0334
="2026/04/02 15:52:14.740",-0.12794,-0.01026,0.04585,-0.08529,0.0048,-0.01133,0.43447,879.04803,-0.38663,0.00498,0.0057,-0.02529,-0.01055,0.04322,-0.02106,0.00322,-0.03333,-0.02015,0.01476,0.0288
="2026/04/02 15:52:14.760",0.04123,0.01919,-0.0021,-0.30641,-0.00779,0.33928,0,867.10205,-0.38467,0.00392,0.03595,0.02958,0.00096,0.05685,0.12334,-0.01264,-0.00075,-0.02249,0.01748,0.01406
="2026/04/02 15:52:14.780",0.29755,0.02364,-0.22303,-0.46054,-0.00917,0.52926,0,855.27563,-0.31761,-0.00189,0.03483,-0.00363,0.0053,0.00543,0.15679,-0.01425,0.06405,-0.00506,0.01486,0.02575
="2026/04/02 15:52:14.800",0.41053,0.00976,-0.21644,-0.53551,-0.02031,0.63146,1.04947,844.79022,-0.16696,0.00037,0.02438,-0.01738,0.00694,0.00671,0.18179,-0.02999,0.06377,-0.01026,0.00371,0.00757
="2026/04/02 15:52:14.820",0.51509,0.03725,-0.37297,-0.50606,-0.02278,0.60004,8.03171,837.07776,-0.01253,0.00574,0.025,-0.00912,0.01284,-0.02149,0.22263,-0.00777,0.05806,0.00806,-0.0009,-0.02756
="2026/04/02 15:52:14.840",0.51587,0.01753,-0.30336,-0.39041,-0.02215,0.48304,17.65793,834.69714,0.15128,-0.00462,-0.0216,-0.03988,0.00833,0.01964,0.14891,-0.01061,0.01593,-0.00745,0.00509,-0.00162
="2026/04/02 15:52:14.860",0.31879,0.02343,-0.2386,-0.19704,-0.00929,0.30417,28.3164,838.59357,0.3022,-0.00268,-0.0304,-0.05006,0.02087,-0.03996,0.11,-0.00864,0.06106,0.00521,0.00054,0.00072
="2026/04/02 15:52:14.880",0.17774,0.0172,-0.13204,0.04507,-0.00257,0.04385,37.61189,846.9563,0.38743,-0.00556,-0.07745,-0.06927,0.03239,-0.06496,0.0257,-0.01048,0.00358,0.04108,0.01212,0.01039
="2026/04/02 15:52:14.900",-0.02042,0.00119,0.00832,0.27063,0.00889,-0.23021,43.72425,857.78369,0.44389,0.02168,-0.09148,-0.09813,0.04344,-0.02551,-0.06025,0.01265,-0.03898,0.03159,0.01035,-0.0025
="2026/04/02 15:52:14.920",-0.20649,0.0021,0.1417,0.45838,0.01068,-0.47854,45.19146,870.04303,0.37554,-0.01242,-0.01638,-0.05098,0.01123,-0.06742,-0.12385,0.01699,-0.06207,0.03254,0.01912,-0.0214
="2026/04/02 15:52:14.940",-0.39451,-0.00937,0.25653,0.559,0.02144,-0.61511,42.26707,881.3623,0.26537,0.00771,-0.04377,-0.06341,0.02851,-0.04563,-0.18032,0.01579,-0.08608,0.02619,0.01468,0.01188
="2026/04/02 15:52:14.960",-0.49077,-0.0178,0.28965,0.55471,-0.01835,-0.63778,36.2653,889.21509,0.07745,-0.00124,-0.0374,-0.04851,0.0046,-0.03556,-0.19977,0.0196,-0.06142,-0.01704,-0.00258,0.00799
="2026/04/02 15:52:14.980",-0.52503,-0.02169,0.32254,0.50363,0.01287,-0.57316,27.2894,892.45111,-0.04432,-0.03198,-0.04807,-0.02408,0.01445,0.01617,-0.16893,0.00928,-0.05063,0.01948,-0.00068,-0.01469
