time,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSGD00003.chdata,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ
="2026/04/02 15:45:31.120",-0.16996,0.11627,-0.11448,0.04083,-0.04629,-0.11817,0.22817,-0.01994,-0.09211,19.87802,862.95465,-0.08603,-0.00649,0.07739,0.21755,0.06034,-0.0994,0.08883,0.0355,-0.23299
="2026/04/02 15:45:31.140",-0.04111,-0.00105,-0.12709,0.15245,0.07524,-0.25953,0.10195,-0.0195,-0.04301,19.84391,863.18976,-0.12661,-0.00727,0.08613,0.26591,0.04831,-0.31377,0.30998,0.04261,-0.36772
="2026/04/02 15:45:31.160",-0.11533,-0.02161,-0.0731,0.33922,-0.08426,0.36718,0.2481,-0.03604,-0.04388,19.78484,863.784,-0.4126,-0.0353,0.23078,0.29289,-0.04431,-0.31022,-0.17183,0.005,0.33229
="2026/04/02 15:45:31.180",-0.09405,0.26075,-0.23143,-0.30652,-0.0508,-0.57958,0.25648,-0.01052,-0.0257,19.82662,863.81915,0.01691,0.01215,-0.03028,0.20234,0.06118,-0.03073,0.2353,-0.0267,-0.39802
="2026/04/02 15:45:31.200",-0.06131,0.09407,0.02927,0.50234,-0.29833,0.25455,0.17014,-0.01886,0.00703,20.08656,863.91345,-0.10746,-0.00334,0.04439,0.23023,-0.03557,-0.32718,-0.06855,-0.02079,0.05013
="2026/04/02 15:45:31.220",-0.16937,0.29818,-0.10962,0.18572,-0.13797,-0.0472,0.39207,-0.01544,-0.03455,20.43845,864.34198,-0.41493,-0.00005,0.17814,0.11202,-0.02633,0.16289,-0.11585,0.07622,-0.07173
="2026/04/02 15:45:31.240",-0.07959,0.21089,-0.11815,0.13943,-0.1124,-0.3379,0.23468,-0.09373,-0.02696,20.5413,865.0614,0.03411,0.03357,0.0363,0.15671,0.04636,-0.07576,0.22938,0.06575,-0.25069
="2026/04/02 15:45:31.260",-0.04136,0.02108,0.06777,0.53632,-0.097,0.39424,0.24057,-0.02169,-0.09161,20.81034,865.60382,0.0886,-0.04181,-0.07542,0.09706,-0.05179,-0.19242,-0.2158,0.14035,0.34976
="2026/04/02 15:45:31.280",-0.14718,0.11513,-0.236,-0.12655,0.20111,-0.455,0.31625,-0.00905,-0.06418,20.7931,865.32471,0.2711,-0.11805,-0.12697,0.0108,0.09865,0.1506,0.22294,0.06732,-0.16057
="2026/04/02 15:45:31.300",-0.01102,-0.04943,0.17245,0.25681,-0.03321,0.35062,0.3272,-0.00911,-0.03319,21.40116,866.11584,0.43211,-0.07784,0.09435,-0.02009,-0.06448,-0.10632,0.03032,0.08613,0.00503
="2026/04/02 15:45:31.320",-0.04386,0.01532,0.11085,0.16201,-0.02111,0.19428,0.16267,-0.04867,0.02953,22.06812,867.06378,0.08698,-0.08138,0.12779,-0.13532,0.03958,0.17424,-0.13604,-0.03863,0.09032
="2026/04/02 15:45:31.340",-0.05283,-0.10109,0.04311,-0.15157,0.09847,-0.16839,0.00419,0.01977,-0.00966,21.75874,867.58441,0.6227,0.04126,0.05037,-0.14407,-0.0202,0.07234,0.11398,-0.0471,-0.40014
="2026/04/02 15:45:31.360",-0.02463,-0.10094,-0.40112,0.26156,-0.17552,0.20501,0.42044,-0.02581,-0.00257,21.15688,867.7428,0.19666,0.07761,0.10361,-0.20867,0.01341,0.02103,-0.1608,-0.07235,0.21861
="2026/04/02 15:45:31.380",-0.05437,-0.02162,0.18776,-0.23238,0.17931,-0.12428,0.21408,0.0054,-0.00767,20.57884,867.00006,0.46305,0.07451,0.15847,-0.25476,-0.01094,0.19383,0.13867,-0.01617,-0.16869
="2026/04/02 15:45:31.400",0.09686,-0.09922,0.14124,0.07042,0.01258,-0.16087,0.17241,0.01027,-0.0031,20.85033,867.0675,0.3923,0.06246,0.07804,-0.13578,0.00015,0.035,-0.07017,-0.04354,-0.03087
="2026/04/02 15:45:31.420",-0.0255,-0.12914,-0.14922,0.0592,0.30181,-0.1306,0.27815,0.01302,0.0047,20.99288,866.91815,0.2678,0.00356,-0.13982,-0.258,0.05547,0.29458,-0.10378,-0.06278,0.19263
="2026/04/02 15:45:31.440",0.03511,-0.14816,0.19132,-0.24218,0.23488,-0.15408,-0.02093,-0.03334,0.02053,21.02299,866.22577,0.46305,-0.00282,-0.15563,-0.28907,-0.08672,0.35441,0.13946,0.00679,-0.15287
