time,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSGD00003.chdata,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSGD00004.chdata,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ
="2026/04/02 17:29:03.820",-0.16375,-0.63957,-1.30468,-0.01681,-2.18432,4.77203,-0.898,0.05455,0.03425,8.22972,0.04214,-0.27395,1.34095,0.91689,0.01411,0.22231,854.39526,1.2829,0.34324,-0.51577
="2026/04/02 17:29:03.840",0.38125,-0.20483,-2.43199,-0.44273,-2.65424,7.14053,-0.04054,-0.04023,0.00026,14.89206,0.44244,0.16315,0.96156,1.73437,0.13212,-0.05497,856.43335,0.61759,0.16916,-0.7968
="2026/04/02 17:29:03.860",0.19254,-0.24776,-2.44672,-1.60731,-2.54541,4.49783,0.00499,0.07487,0.03442,22.31298,0.40685,0.11968,-0.01444,2.08183,0.15922,-0.50708,861.54065,0.30338,-0.08706,-0.76807
="2026/04/02 17:29:03.880",0.39081,-0.29091,-1.99457,-0.20158,-2.36719,4.25632,0.63782,-0.07954,-0.00017,27.2297,1.22669,0.0961,-0.61967,1.6857,0.02447,-0.54728,865.87921,1.66106,-0.15149,-1.19699
="2026/04/02 17:29:03.900",0.32314,0.31166,-2.25368,-0.99002,-1.62115,3.23914,0.85359,-0.12402,-0.01985,32.57347,0.88223,0.26978,-0.85753,2.22386,0.16555,-0.54775,871.53577,-0.13589,-0.47419,-0.90588
="2026/04/02 17:29:03.920",0.51828,-0.20882,-1.3522,-0.43013,-0.75488,-0.02838,1.27663,-0.11993,-0.15681,35.10844,1.15933,0.12166,-1.88614,1.65816,0.08253,-0.73057,877.63666,2.06268,-0.26212,-1.33707
="2026/04/02 17:29:03.940",0.36365,-0.07093,-1.63819,-0.53519,-0.26831,0.0077,1.19026,-0.14636,-0.18451,35.3235,0.8732,0.09071,-1.71817,1.16284,-0.16226,-0.13401,879.97644,-0.12263,-0.30756,-0.8985
="2026/04/02 17:29:03.960",0.26952,-0.4795,-0.73138,-0.72815,0.80034,-2.69767,1.21738,-0.12882,-0.15668,34.56557,0.51416,0.26369,-1.93549,0.69448,-0.08074,-0.03414,881.65613,0.57209,-0.27003,-0.57377
="2026/04/02 17:29:03.980",0.29629,0.13104,0.21771,0.02559,1.12104,-3.81214,1.73455,0.03991,-0.08026,31.33603,0.72719,-0.03277,-2.4436,0.43823,-0.34241,-0.05937,879.565,0.91932,-0.16443,-0.49447
="2026/04/02 17:29:04.000",0.47117,0.5434,0.94036,-0.36784,1.69158,-4.25241,0.81637,-0.19804,-0.19438,28.86003,0.50788,0.27718,-1.84552,0.38945,-0.20067,0.25043,875.87231,-1.26236,-0.25018,0.40209
="2026/04/02 17:29:04.020",0.3568,0.27941,1.86914,-0.03614,2.05855,-6.2292,0.40892,-0.09193,-0.25491,24.57174,0.63867,0.12257,-1.73741,-1.1609,-0.15241,0.27628,870.17743,0.82074,-0.25336,0.07896
="2026/04/02 17:29:04.040",0.31016,0.76949,1.40265,0.61335,1.99382,-4.54953,0.21713,0.06701,-0.11955,19.58707,0.17102,0.02976,-0.76939,-0.70128,-0.17357,0.33493,860.87292,-1.19297,-0.27124,0.48645
="2026/04/02 17:29:04.060",-0.12093,0.44923,2.02451,-0.05441,2.91181,-6.65958,0.36979,-0.09271,-0.10374,15.87999,-0.31828,-0.27552,-0.86462,-1.55107,-0.11795,0.4245,853.19446,-0.63027,-0.16651,0.8141
="2026/04/02 17:29:04.080",-0.10239,0.52796,2.05529,1.22496,2.61637,-4.05336,-0.04223,-0.08549,-0.01434,12.89636,-0.67999,-0.00381,0.03642,-2.07204,-0.12979,0.10142,845.12354,-0.30164,-0.04419,0.4971
="2026/04/02 17:29:04.100",-0.1885,0.57214,1.92199,0.32457,1.91932,-4.0133,-0.8246,0.09311,-0.04519,13.06823,-0.86224,-0.16086,0.44098,-1.51187,0.0897,0.36465,839.38733,-1.73548,0.04105,1.18649
="2026/04/02 17:29:04.120",-0.30805,-0.05656,2.52918,0.77414,1.33518,-1.81193,-0.79853,0.04809,0.11867,13.21809,-0.8495,-0.10023,0.85667,-2.08272,0.0725,-0.09529,835.42719,0.06102,0.33555,1.01959
="2026/04/02 17:29:04.140",-0.36776,0.67431,1.49299,0.19607,0.51814,-0.06285,-1.1049,0.10173,0.12504,14.56391,-0.97523,-0.17349,1.86677,-1.3948,-0.00615,0.03609,833.60358,-2.01412,0.08027,1.16468
="2026/04/02 17:29:04.160",-0.71366,0.25975,1.13048,-0.09528,0.17775,0.67457,-1.37252,0.06913,0.19209,15.68521,-0.70266,-0.20345,1.56506,-1.33334,0.16745,0.01368,837.03674,0.02267,0.01193,0.4468
="2026/04/02 17:29:04.180",-0.66709,0.0925,-0.12403,0.53196,-0.76449,2.59923,-0.83236,0.19346,0.15176,15.72348,-0.68895,-0.17918,1.9981,-0.46892,0.01256,0.09848,842.57379,-0.85177,0.01472,0.57308
="2026/04/02 17:29:04.200",-0.71439,-0.44421,-0.26728,-0.04412,-1.25069,3.14512,-1.53012,-0.04031,0.15319,16.51015,-0.68397,-0.32331,2.59214,-0.28615,-0.0892,0.32614,851.70605,-0.77063,0.23872,0.05163
="2026/04/02 17:29:04.220",-0.96044,-0.58963,-1.38981,0.15561,-1.90146,4.72778,-1.06719,0.11561,0.12703,15.45702,-0.78455,-0.23359,2.20791,-0.44268,0.14866,0.31896,860.48499,0.98074,0.48531,-0.32888
="2026/04/02 17:29:04.240",-0.45371,-0.39578,-1.73046,0.13692,-2.42963,5.52601,-0.80995,0.05033,0.21905,14.63713,-0.50683,-0.12237,1.18514,1.02676,0.05791,0.07428,868.47485,-1.13232,0.62459,-0.10604
="2026/04/02 17:29:04.260",-0.58841,-0.89266,-1.83888,-0.33102,-2.36565,4.75323,-0.33857,0.11996,0.05195,13.6519,-0.06768,0.16029,0.85047,0.77234,0.17789,0.0117,876.21698,1.016,0.39811,-0.58791
="2026/04/02 17:29:04.280",0.00851,-0.41692,-1.90625,0.36732,-3.13877,5.43656,-0.3838,-0.15808,-0.03231,12.49062,0.04676,0.2174,0.97157,1.79903,0.18061,0.24145,880.57233,0.47002,0.05701,-0.67114
="2026/04/02 17:29:04.300",0.15712,-0.56471,-2.15668,-0.20291,-2.17769,3.56724,0.0742,-0.09242,-0.10085,13.07429,0.40402,-0.06229,0.04035,1.81827,0.02955,-0.70018,883.2254,0.40683,-0.07151,-0.52363
="2026/04/02 17:29:04.320",0.25508,-0.64934,-2.54097,-0.27658,-1.05772,3.62888,0.5752,-0.04543,-0.12298,13.10197,0.2338,0.28589,-0.69457,1.4477,-0.02541,-0.45084,882.42871,1.72923,-0.17753,-1.31456
="2026/04/02 17:29:04.340",0.66862,-0.64375,-2.17286,-0.33634,-0.57399,1.16549,1.11946,-0.09709,-0.04534,15.00884,0.86512,0.11776,-1.21234,2.36806,0.07639,-0.13242,878.47675,0.18901,-0.25701,-0.96304
="2026/04/02 17:29:04.360",0.59507,-0.38856,-1.59552,-0.72003,-0.41095,1.04559,1.26996,-0.12554,-0.08898,18.87502,0.84188,0.11901,-1.72743,1.01998,-0.03497,-0.16908,873.96948,1.85834,-0.41885,-0.86444
="2026/04/02 17:29:04.380",1.05872,0.16657,-1.00743,-0.35189,0.21777,-0.28613,1.51209,-0.14728,-0.11898,22.91607,0.69199,0.30831,-1.54742,1.34903,-0.18458,-0.23034,867.68567,0.14278,-0.22656,-0.44656
="2026/04/02 17:29:04.400",1.10281,0.13345,0.23183,-0.96169,0.96531,-2.30062,-0.01593,0.0101,-0.04831,28.08289,1.11985,0.06689,-2.30084,0.02668,0.01406,0.12747,861.84094,0.91034,-0.24682,-0.41035
="2026/04/02 17:29:04.420",1.00081,0.66442,0.24592,-0.25224,1.22966,-2.43018,1.42254,0.01882,-0.10362,32.01358,0.58682,0.4128,-1.82169,-0.29422,0.07671,-0.29258,857.42157,0.86269,-0.51398,-0.07185
