time,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSGD00003.chdata,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ
="2026/04/02 17:26:31.780",0.05465,0.6719,1.22679,32.08198,-0.28476,-0.32755,0.03318,868.38861,-0.01979,-0.02252,0.02446,-0.72476,-0.01984,0.78326,0.18419,0.05548,0.03677,-0.2446,0.00917,-0.16093
="2026/04/02 17:26:31.800",0.20742,0.374,1.4221,25.80859,-0.47108,-0.47757,-0.43731,872.4693,-0.05297,-0.10315,0.11942,-0.79919,0.04454,0.52445,0.24412,0.03966,0.00185,-0.29073,-0.02879,-0.6637
="2026/04/02 17:26:31.820",0.01839,0.23244,0.79234,19.41885,0.444,-0.71561,-0.0604,873.57654,-0.35642,-0.01923,0.22505,-0.56077,0.02304,0.28453,0.21861,0.03533,0.087,-0.51028,-0.05926,-0.4038
="2026/04/02 17:26:31.840",0.24142,0.22238,1.43472,12.99835,-0.23287,-0.16945,-0.72281,872.37018,-0.01153,0.0743,-0.02855,-0.85484,0.15658,1.18961,0.2052,0.03653,-0.00697,-0.42768,0.06561,-0.29674
="2026/04/02 17:26:31.860",0.31238,0.30528,0.80991,7.25552,0.11227,-0.69364,-0.27068,868.49835,-0.35623,0.0751,0.4198,-0.18076,0.2034,-0.06345,0.36479,0.0799,0.02874,-0.44381,-0.09541,-0.40704
="2026/04/02 17:26:31.880",0.31102,0.16138,0.40956,4.42276,0.21712,-0.65123,-0.07663,862.21393,-0.23441,0.07854,-0.21716,-0.20968,0.19679,0.38944,0.24277,0.02997,0.09409,-0.49436,0.02174,-0.08649
="2026/04/02 17:26:31.900",0.39288,-0.14992,0.26101,3.89227,-0.2787,-0.36086,-0.58657,855.43933,-0.10385,0.14226,-0.25862,-0.05651,0.04532,0.07752,0.19442,0.04448,0.01725,-0.47102,0.11415,-0.16339
="2026/04/02 17:26:31.920",0.48299,-0.07361,0.08787,5.06271,0.24918,-0.36534,-0.44899,847.96411,-0.27644,0.1576,-0.04939,0.43327,0.15714,-0.14331,0.98799,0.07521,0.09832,-0.33857,-0.12146,-0.6099
="2026/04/02 17:26:31.940",0.28264,0.02157,-0.80788,8.54854,0.89209,-0.08013,0.12859,841.59265,-0.05122,0.28433,-0.33094,0.23393,0.12212,-0.04876,0.08571,-0.01488,0.06862,-0.27609,0.04517,0.10992
="2026/04/02 17:26:31.960",0.48872,-0.30069,-0.45043,13.4366,0.03254,0.2045,-0.45895,838.67535,-0.39723,0.24002,-0.37021,0.76265,0.0658,-0.60957,-0.00037,-0.05498,-0.05545,0.08661,-0.02253,-0.21941
="2026/04/02 17:26:31.980",0.09147,-0.05723,-0.99074,19.69139,0.69465,-0.29189,0.70233,839.15997,-0.42825,0.20861,-0.24242,0.65851,-0.0477,-0.57577,-0.10224,0.04793,-0.01013,0.24624,0.01034,0.02033
="2026/04/02 17:26:32.000",0.09104,-0.16699,-1.09556,25.17406,0.07679,-0.00667,-0.02536,842.42413,0.52866,0.19718,-0.9058,0.53448,0.04934,-0.64839,0.17693,0.04531,0.05463,0.53143,0.0849,0.15708
