time,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSGD00003.chdata,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSGD00004.chdata,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ
="2026/04/02 17:17:26.080",-0.15524,-0.05763,0.28274,19.67001,0.12461,0.05203,-0.15691,0.15371,0.02453,0.11283,862.77924,-0.25058,0.03868,0.18976,0.21152,-0.01307,-0.03599,0.34972,-0.02393,-0.01675
="2026/04/02 17:17:26.100",-0.19585,0.00433,0.0981,19.55482,0.02716,0.05612,-0.04034,0.33154,0.06093,0.02286,862.95361,-0.02282,0.04537,-0.09184,-0.05938,0.29371,-0.42977,0.21656,-0.02796,-0.04736
="2026/04/02 17:17:26.120",-0.18177,-0.05921,0.04192,19.49044,0.15149,0.06941,0.00879,-0.04508,0.05469,-0.05265,862.69,0.04066,0.03563,0.0269,0.14046,0.14058,-0.12926,0.26293,0.02097,-0.03473
="2026/04/02 17:17:26.140",-0.3683,0.03591,0.26697,19.98878,0.08953,0.13379,-0.29721,0.09637,0.01162,-0.00398,862.62878,-0.32083,0.07405,0.3925,0.14254,0.02684,0.08312,0.11202,-0.00487,-0.04714
="2026/04/02 17:17:26.160",-0.26642,-0.05456,0.08618,19.47091,0.00609,-0.0144,0.03013,0.23958,0.04089,-0.07527,862.01843,0.12489,0.03816,-0.10322,0.08394,-0.12625,-0.15135,0.06874,0.01622,-0.00354
="2026/04/02 17:17:26.180",-0.26941,0.04484,0.24367,19.39193,0.00694,0.2472,-0.06241,0.0113,-0.13732,0.04476,861.22559,-0.05926,0.08225,0.27417,0.31027,-0.21892,0.56201,0.36317,-0.01182,-0.00971
="2026/04/02 17:17:26.200",-0.2275,0.03197,0.26025,20.37818,-0.04065,0.10178,0.09946,0.27617,-0.09157,-0.00255,861.45483,-0.03493,0.09811,0.16628,0.14378,-0.32449,0.17191,0.15469,-0.00841,-0.03189
="2026/04/02 17:17:26.220",-0.21167,-0.11147,0.06082,20.4249,0.05357,-0.01552,0.12974,0.00888,-0.09636,0.12738,861.61139,0.1581,0.06373,-0.01432,0.30475,-0.41713,0.12553,0.2403,-0.10495,-0.05606
="2026/04/02 17:17:26.240",-0.33093,0.07425,0.27898,19.9751,-0.00851,-0.00163,-0.00079,0.23164,-0.08162,0.15911,861.99518,-0.24193,0.04981,0.27567,0.45633,-0.07159,0.19893,0.05718,-0.03107,-0.00276
="2026/04/02 17:17:26.260",-0.18886,0.00808,0.12531,19.40103,-0.13611,-0.13262,-0.26103,0.22959,0.01042,0.12228,862.49884,0.1269,0.01001,-0.01108,0.22654,0.08283,0.01346,0.08931,-0.00064,0.01797
="2026/04/02 17:17:26.280",-0.22549,-0.0485,0.17982,19.56042,-0.06352,-0.12104,-0.20896,0.31471,0.00632,-0.00532,862.57568,-0.22081,0.00259,0.26048,0.43201,-0.25807,0.36507,0.09597,-0.01715,-0.02405
="2026/04/02 17:17:26.300",-0.04524,0.00304,0.049,19.63464,-0.05367,-0.12825,0.1289,0.39201,0.00498,-0.18152,862.37384,-0.06039,-0.01854,0.12104,0.39342,-0.11482,0.11947,-0.05523,0.02276,-0.00777
="2026/04/02 17:17:26.320",-0.11874,0.06704,0.29229,19.55088,-0.01352,0.0172,0.19678,0.19428,0.02716,-0.06745,861.51605,0.13876,-0.05435,-0.11958,0.33289,-0.02879,0.16785,0.04805,0.01677,0.0098
="2026/04/02 17:17:26.340",-0.01294,-0.04201,-0.00001,19.94919,-0.00549,0.14135,0.12806,0.19805,0.00543,0.06037,861.20203,-0.17806,-0.16579,0.36047,0.53691,-0.0932,0.30427,-0.10774,0.04086,0.00494
="2026/04/02 17:17:26.360",-0.08314,-0.01973,0.28383,19.58222,-0.05538,-0.12486,0.18646,0.22071,0.05547,-0.06039,861.36707,0.10362,-0.10248,-0.15647,0.3972,-0.02991,0.17918,-0.09087,0.0123,-0.05039
="2026/04/02 17:17:26.380",-0.12057,-0.02078,0.15541,18.1895,-0.05582,-0.01878,0.1173,0.11112,0.01533,0.10848,860.5415,-0.10344,-0.00806,0.00978,0.18335,0.12286,-0.14144,-0.13126,0.02496,-0.00898
="2026/04/02 17:17:26.400",0.04437,-0.01245,-0.03548,18.70541,-0.09778,0.08984,0.24526,0.14685,0.00291,-0.01766,859.60004,-0.10315,-0.02331,0.13496,0.32385,-0.01624,0.36174,-0.09415,-0.03805,-0.00053
="2026/04/02 17:17:26.420",-0.06675,0.08761,0.35087,19.19883,0.03091,0.04868,0.29698,0.22897,0.00887,-0.1806,859.6109,0.05798,-0.08692,-0.09789,0.19534,-0.17078,0.51701,-0.20889,0.0154,0.0256
="2026/04/02 17:17:26.440",0.07588,-0.04206,-0.12111,18.81792,-0.09555,0.00632,0.0682,0.0462,-0.04814,0.02532,860.31287,-0.09484,-0.08014,0.11094,0.00809,-0.12524,-0.01144,-0.04412,0.05725,0.03615
="2026/04/02 17:17:26.460",-0.07583,-0.04112,0.13182,19.08942,-0.1219,-0.0236,0.28297,0.04184,-0.04425,-0.05499,860.66083,-0.082,0.01002,0.17333,0.36771,-0.20797,0.61676,-0.09679,0.02414,0.03496
="2026/04/02 17:17:26.480",-0.15519,0.01719,0.22854,19.0714,-0.00144,0.02623,0.09941,0.13891,-0.02656,-0.04221,860.104,-0.06157,0.01259,0.03883,-0.01249,0.08936,0.11301,-0.1459,-0.00215,-0.01178
="2026/04/02 17:17:26.500",-0.043,-0.129,-0.1101,19.27193,-0.04025,0.03595,0.19331,-0.01785,-0.03272,0.09271,859.24304,0.12504,-0.09934,0.02004,0.05731,-0.15892,0.32118,-0.13823,0.03392,0.03056
="2026/04/02 17:17:26.520",-0.04838,0.11115,0.26425,19.28989,-0.13158,0.07646,0.19599,0.1507,0.02699,0.05844,859.00641,-0.21915,-0.03368,0.25584,0.05151,-0.15093,0.76492,-0.09868,-0.01113,0.05185
="2026/04/02 17:17:26.540",0.14398,-0.00909,-0.09157,18.60609,-0.22441,-0.02411,0.25461,-0.04455,-0.00516,0.24664,859.25262,0.12492,0.04381,-0.2546,-0.43897,-0.3621,0.09885,-0.19936,0.03224,-0.0072
="2026/04/02 17:17:26.560",0.06711,-0.07213,0.0946,18.30989,-0.1628,0.12825,-0.08458,-0.08435,-0.03864,-0.05133,859.66656,-0.11368,-0.02792,0.29677,0.12881,-0.56511,0.59937,-0.11731,0.01389,-0.00876
="2026/04/02 17:17:26.580",0.17509,0.18463,-0.03219,18.94071,-0.14439,-0.04362,0.15976,0.21342,0.04537,0.01044,860.04102,-0.09869,-0.00169,0.08936,-0.05632,0.08505,-0.09369,-0.24335,-0.00414,-0.02165
="2026/04/02 17:17:26.600",0.24973,-0.07508,-0.40024,19.02743,-0.13399,-0.15555,-0.126,-0.09076,-0.00634,0.00002,860.07983,0.23361,-0.00395,-0.15176,0.04089,-0.03423,-0.14884,-0.0615,0.0236,0.0001
="2026/04/02 17:17:26.620",0.15639,0.14185,-0.11419,18.45085,-0.13607,-0.25576,-0.07922,0.20566,-0.06201,-0.04518,859.95129,-0.25716,0.04311,0.25807,0.31191,0.10863,-0.0774,-0.18924,-0.01504,0.01283
="2026/04/02 17:17:26.640",0.26649,-0.1087,-0.31538,17.57294,-0.11478,-0.25323,0.35398,0.04284,-0.07218,0.04888,859.92438,0.27397,-0.07207,-0.18876,0.05243,0.44721,-0.87398,-0.19202,0.02889,0.02684
="2026/04/02 17:17:26.660",0.21907,-0.00133,-0.26296,17.26043,0.07743,0.11566,0.12526,-0.09163,-0.06324,-0.04636,859.29456,-0.02312,-0.09156,0.01436,0.32228,0.5021,0.1369,-0.07957,0.0085,0.03491
="2026/04/02 17:17:26.680",0.2723,0.03592,-0.04575,17.95254,-0.05378,0.01658,0.3393,0.07376,0.00678,-0.22672,858.74707,0.037,-0.24126,-0.10328,-0.07292,0.39118,-0.40264,-0.16054,-0.00155,0.02809
="2026/04/02 17:17:26.700",0.3532,-0.03765,-0.33095,18.22373,0.00756,0.07745,0.29087,-0.04757,-0.04765,-0.05724,858.73785,0.31128,-0.1641,-0.32801,-0.36856,0.21611,-0.28538,-0.12056,0.01083,0.04152
="2026/04/02 17:17:26.720",0.08606,0.0385,0.03348,17.77093,-0.00696,0.32783,0.26424,0.07605,-0.0042,-0.24354,858.87897,-0.15919,-0.01464,0.07636,-0.21676,0.11152,0.22708,-0.17692,0.02938,-0.00068
