time,dist_01.dist
="2026/04/02 16:24:24.810",192.568
="2026/04/02 16:24:24.830",192.579
="2026/04/02 16:24:24.850",192.516
="2026/04/02 16:24:24.870",192.404
="2026/04/02 16:24:24.890",192.377
="2026/04/02 16:24:25.012",192.419
="2026/04/02 16:24:25.032",192.433
="2026/04/02 16:24:25.052",192.474
="2026/04/02 16:24:25.072",192.494
="2026/04/02 16:24:25.092",192.463
="2026/04/02 16:24:25.112",192.375
="2026/04/02 16:24:25.132",192.297
="2026/04/02 16:24:25.152",192.284
="2026/04/02 16:24:25.172",192.271
="2026/04/02 16:24:25.192",192.191
="2026/04/02 16:24:25.212",192.134
="2026/04/02 16:24:25.232",192.02
="2026/04/02 16:24:25.252",191.45
="2026/04/02 16:24:25.272",190.651
="2026/04/02 16:24:25.292",190.129
="2026/04/02 16:24:25.312",190.129
="2026/04/02 16:24:25.332",190.129
="2026/04/02 16:24:25.352",191.72
="2026/04/02 16:24:25.372",192.293
="2026/04/02 16:24:25.392",192.614
="2026/04/02 16:24:25.412",192.796
="2026/04/02 16:24:25.432",192.796
="2026/04/02 16:24:25.452",192.796
="2026/04/02 16:24:25.472",190.202
="2026/04/02 16:24:25.492",190.202
="2026/04/02 16:24:25.512",190.202
="2026/04/02 16:24:25.532",190.202
="2026/04/02 16:24:25.552",192.038
="2026/04/02 16:24:25.572",192.038
="2026/04/02 16:24:25.592",192.038
="2026/04/02 16:24:25.612",190.792
="2026/04/02 16:24:25.632",190.792
="2026/04/02 16:24:25.652",190.792
="2026/04/02 16:24:25.672",192.515
="2026/04/02 16:24:25.692",191.864
="2026/04/02 16:24:25.712",191.422
="2026/04/02 16:24:25.732",191.422
="2026/04/02 16:24:25.752",191.422
="2026/04/02 16:24:25.772",191.422
="2026/04/02 16:24:25.792",191.422
="2026/04/02 16:24:25.812",191.422
="2026/04/02 16:24:25.832",191.422
="2026/04/02 16:24:25.852",191.422
="2026/04/02 16:24:25.872",191.422
="2026/04/02 16:24:25.892",192.301
="2026/04/02 16:24:25.912",192.193
="2026/04/02 16:24:25.932",192.095
="2026/04/02 16:24:25.952",192.095
