time,v00018.AccX,v00018.AccY,v00018.AccZ,v00033.AccX,v00033.AccY,v00033.AccZ,s00018-1.chdata,s00018-2.chdata,s00018-3.chdata,v00029.AccX,v00029.AccY,v00029.AccZ,v00023.AccX,v00023.AccY,v00023.AccZ,v00035.AccX,v00035.AccY,v00035.AccZ,s0005-2.chdata,s0005-3.chdata,v00028.AccX,v00028.AccY,v00028.AccZ,v00015.AccX,v00015.AccY,v00015.AccZ,s0013-1.chdata,s0013-2.chdata,s0013-3.chdata,s00017-2.chdata,s00017-3.chdata,s0017-1.chdata,s0017-2.chdata,s0017-3.chdata,s0011-1.chdata,s0011-2.chdata,s0011-3.chdata,v00036.AccX,v00036.AccY,v00036.AccZ,v00025.AccX,v00025.AccY,v00025.AccZ,v00024.AccX,v00024.AccY,v00024.AccZ,v00014.AccX,v00014.AccY,v00014.AccZ,v00026.AccX,v00026.AccY,v00026.AccZ,v00034.AccX,v00034.AccY,v00034.AccZ
="2026/04/02 16:26:00.440",0.00155,0.00923,0.02478,-0.03021,-0.0167,-0.01444,0,13.42002,0,-0.02268,0.01637,0.01733,0.07148,0.00104,-0.01982,0.08395,0.03372,-0.01824,,,0.03744,-0.03493,0.04051,-0.00124,-0.01356,-0.03359,,,,104.78854,29.55971,77.2828,104.78854,29.55971,,,,0.01655,-0.02982,-0.00497,0.0014,-0.00271,0.01543,0.01617,0.00299,0.003,-0.00166,0.01615,0.01031,0.01611,0.01585,0.027,0.0064,0.06958,0.00441
="2026/04/02 16:26:00.460",0.01971,0.00133,0.01192,-0.00106,-0.00375,-0.02323,0,13.13981,0,-0.00308,-0.02724,0.00122,0.02001,-0.0033,-0.03133,-0.02723,-0.03225,-0.02735,,,0.00215,-0.04968,-0.00999,0.00068,0.01933,0.00331,,,,104.77636,29.62432,77.36192,104.77636,29.62432,,,,-0.03998,-0.02933,0.01022,-0.01191,-0.02241,0.01031,-0.00075,0.00075,0.0009,-0.00074,0.00473,0.00392,0.00251,-0.03457,0.01814,-0.06548,0.05814,0.03025
="2026/04/02 16:26:00.480",0.02535,-0.00931,-0.00139,0.01399,0.01255,-0.04702,0,12.96994,0,-0.00773,0.00327,0.02036,-0.08171,-0.02062,0.00384,0.01793,0.12273,-0.02013,,,-0.04991,-0.01109,0.02168,0.00008,0.01102,-0.00165,,,,104.55591,29.4234,77.12547,104.55591,29.4234,,,,-0.00324,-0.01207,0.00146,-0.01039,-0.00165,0.00068,0.00613,-0.02439,-0.01813,-0.0075,-0.00596,-0.00882,-0.01135,0.00753,-0.0276,-0.01575,0.02,0.02462
="2026/04/02 16:26:00.500",0.02047,0.00731,-0.01298,-0.02632,-0.01585,-0.03508,0,13.2989,0,-0.04029,0.01014,-0.08469,0.00311,-0.06601,0.00003,0.05566,-0.0389,-0.00799,,,-0.00733,-0.02301,0.01318,0.00771,-0.0018,0.00731,,,,104.58494,29.05533,76.81793,104.58494,29.05533,,,,0.02199,-0.02426,0.00827,0.00232,0.01277,0.02022,-0.01088,0.00308,0.02115,0.00362,0.00112,-0.02259,0.01363,-0.00689,0.02546,-0.12572,0.04566,0.02794
="2026/04/02 16:26:00.520",-0.00799,0.01846,-0.00636,0.05304,0.04177,-0.02623,0,13.03639,0,0.02958,-0.00319,0.01429,-0.01897,-0.07526,0.02242,-0.10147,-0.02714,0.00117,,,0.01812,0.00273,0.02027,0.00991,0.02062,-0.02297,,,,104.64246,28.81674,77.03979,104.64246,28.81674,,,,-0.00236,-0.0154,0.02057,0.01848,0.00009,-0.00179,0.00512,0.01283,0.01684,-0.01046,0.0087,-0.00388,-0.00319,0.03245,-0.01395,-0.02195,-0.03751,0.01223
="2026/04/02 16:26:00.540",0.00838,0.0025,0.02104,-0.00085,0.00124,-0.04991,0,12.32999,0,0.02377,-0.01297,0.01814,-0.00771,-0.01543,0.00874,-0.00723,0.03687,-0.03548,,,0.03029,0.01404,0.0279,0.00282,-0.00713,-0.0145,,,,104.45751,28.91288,77.88228,104.45751,28.91288,,,,0.00367,-0.04535,0.02633,0.01716,-0.00227,0.00617,-0.00361,-0.01813,0.02523,0.0034,0.00277,-0.00802,0.04762,0.00288,0.03396,-0.09904,-0.04662,-0.01743
="2026/04/02 16:26:00.560",0.01148,-0.00392,0.00046,0.05141,0.017,-0.02287,0,12.52582,0,-0.00766,-0.0108,-0.04391,-0.04065,0.02084,0.00924,-0.00727,0.03161,-0.00133,,,-0.00417,-0.00813,-0.004,-0.00537,0.00742,0.00119,,,,104.15898,28.96889,78.30965,104.15898,28.96889,,,,-0.00471,0.02343,-0.01849,-0.00624,-0.00225,0.01328,-0.00517,0.00399,-0.01917,-0.00847,0.00023,-0.01562,0.00579,-0.00378,-0.0336,0.10512,-0.00487,-0.03921
="2026/04/02 16:26:00.580",0.00418,-0.01965,0.00168,-0.03666,-0.01017,0.01139,0,13.04707,0,0.00706,0.00456,-0.01786,0.02176,0.03289,0.00971,0.02049,-0.11635,0.02072,,,0.00731,-0.00381,-0.01896,0.00075,-0.0029,-0.03268,,,,104.06097,28.93636,77.75816,104.06097,28.93636,,,,0.00326,-0.00471,-0.02815,0.00775,0.00022,-0.00331,-0.00514,0.00173,-0.02178,0.01808,0.00348,0.00204,-0.00419,0.02124,-0.04717,0.04881,-0.01248,0.02369
="2026/04/02 16:26:00.600",-0.01209,-0.00062,-0.01443,0.01173,0.01042,-0.00123,0,13.28004,0,-0.01007,-0.0063,0.01753,0.01173,0.02164,0.00203,-0.01065,-0.05632,0.00936,,,-0.02962,0.02886,-0.00522,0.00689,-0.01721,-0.02699,,,,104.22032,28.87095,77.64479,104.22032,28.87095,,,,0.00644,-0.00437,-0.01434,-0.02314,0.00675,-0.00223,-0.00124,0.01879,-0.03261,-0.0264,-0.00225,0.02455,-0.00694,-0.02038,-0.00354,0.0029,0.05286,0.02898
="2026/04/02 16:26:00.620",0.01737,-0.02427,-0.01227,0.0028,0.01337,0.04263,0,13.16312,0,-0.02525,0.01659,-0.04477,0.01329,0.02716,0.00563,-0.02598,-0.00423,0.03347,,,0.03491,0.05105,-0.03272,0.00524,0.0339,-0.00564,,,,104.20092,29.04194,77.41197,104.20092,29.04194,,,,0.01148,-0.00442,0.01308,0.00377,-0.00318,-0.00098,-0.00678,-0.00507,-0.03793,0.00189,0.00417,-0.03861,-0.06288,0.00776,-0.01031,-0.02192,-0.01058,-0.04461
="2026/04/02 16:26:00.640",-0.01325,-0.01168,0.01152,-0.01258,-0.00849,0.02682,0,13.24699,0,0.01012,-0.00937,-0.01209,-0.0266,-0.01805,-0.00666,-0.06501,0.02532,-0.01052,,,0.05554,-0.01696,0.03141,-0.00881,0.00692,-0.00621,,,,104.18344,29.53782,76.9816,104.18344,29.53782,,,,-0.00128,-0.03772,-0.00021,-0.00523,0.00756,0.01244,0.00446,0.00318,0.02632,0.0036,-0.00512,0.02976,0.03701,0.02724,-0.00302,0.00743,0.02138,-0.04053
="2026/04/02 16:26:00.660",-0.01624,-0.05005,-0.02245,-0.04904,-0.05065,-0.0037,0,13.45278,0,0.01317,-0.00159,0.04957,0.00358,0.00634,-0.02131,0.00892,-0.00788,-0.00443,,,0.0106,0.028,0.01631,-0.00276,0.00871,-0.04042,,,,104.16703,29.66098,77.37695,104.16703,29.66098,,,,0.00168,-0.0168,-0.00131,0.01905,-0.00863,0.0044,-0.00928,0.01105,0.00558,0.00242,0.0187,-0.03432,0.04405,-0.03319,-0.02422,-0.02035,-0.01734,-0.03199
="2026/04/02 16:26:00.680",-0.01619,-0.05081,-0.01888,-0.02075,-0.01266,0.02348,0,13.45033,0,0.00545,-0.01587,0.02557,0.00206,0.00728,-0.03173,0.011,-0.01057,0.00726,,,-0.00212,-0.034,0.02122,-0.01044,0.00845,0.0302,,,,104.04552,29.51227,77.5929,104.04552,29.51227,,,,0.00044,-0.01371,0.00479,-0.00996,-0.01659,0.01263,-0.00234,0.00763,0.00088,0.01506,-0.00183,-0.02222,-0.05223,-0.03247,0.03083,0.023,0.02468,0.02003
="2026/04/02 16:26:00.700",0.06902,-0.00629,0.0169,0.03634,0.04127,0.01169,0,13.0244,0,0.01414,-0.0148,0.00066,0.01396,-0.00128,0.01178,-0.02949,-0.00344,0.01684,,,-0.02697,-0.02613,-0.01298,-0.00396,0.00532,0.01214,,,,103.91193,29.53137,77.46409,103.91193,29.53137,,,,-0.0079,-0.00744,0.00351,0.02301,0.02672,-0.01721,-0.00711,0.00457,-0.00281,-0.00592,-0.01743,0.05343,-0.01567,-0.05646,0.01152,0.02711,-0.00446,0.00261
