code,type,time,value1,value2,value3
s0017-2,sgd,1775476770.84,134.03508,,
s0017-2,sgd,1775476770.86,134.0148,,
s0017-2,sgd,1775476770.88,133.87584,,
s0017-2,sgd,1775476770.9,133.87299,,
s0017-2,sgd,1775476770.92,133.88138,,
s0017-2,sgd,1775476770.94,133.80301,,
s0017-2,sgd,1775476770.96,133.85004,,
s0017-2,sgd,1775476770.98,134.04045,,
s0017-3,sgd,1775476770,252.57756,,
s0017-3,sgd,1775476770.02,252.35948,,
s0017-3,sgd,1775476770.04,252.3022,,
s0017-3,sgd,1775476770.06,252.37631,,
s0017-3,sgd,1775476770.08,252.25816,,
s0017-3,sgd,1775476770.1,252.3401,,
s0017-3,sgd,1775476770.12,252.52843,,
s0017-3,sgd,1775476770.14,252.58176,,
s0017-3,sgd,1775476770.16,252.54543,,
s0017-3,sgd,1775476770.18,252.56075,,
s0017-3,sgd,1775476770.2,252.48769,,
s0017-3,sgd,1775476770.22,252.24678,,
s0017-3,sgd,1775476770.24,251.90233,,
s0017-3,sgd,1775476770.26,251.68663,,
s0017-3,sgd,1775476770.28,252.02252,,
s0017-3,sgd,1775476770.3,252.66162,,
s0017-3,sgd,1775476770.32,253.04054,,
s0017-3,sgd,1775476770.34,252.97131,,
s0017-3,sgd,1775476770.36,252.91826,,
s0017-3,sgd,1775476770.38,252.81784,,
s0017-3,sgd,1775476770.4,252.61731,,
s0017-3,sgd,1775476770.42,252.65501,,
s0017-3,sgd,1775476770.44,252.79848,,
s0017-3,sgd,1775476770.46,252.81212,,
s0017-3,sgd,1775476770.48,252.75186,,
s0017-3,sgd,1775476770.5,252.73431,,
s0017-3,sgd,1775476770.52,252.69046,,
s0017-3,sgd,1775476770.54,252.5936,,
s0017-3,sgd,1775476770.56,252.30721,,
s0017-3,sgd,1775476770.58,252.2354,,
s0017-3,sgd,1775476770.6,252.14854,,
s0017-3,sgd,1775476770.62,251.96809,,
s0017-3,sgd,1775476770.64,252.11089,,
s0017-3,sgd,1775476770.66,252.578,,
s0017-3,sgd,1775476770.68,252.92622,,
s0017-3,sgd,1775476770.7,252.72217,,
s0017-3,sgd,1775476770.72,252.26534,,
s0017-3,sgd,1775476770.74,252.01466,,
s0017-3,sgd,1775476770.76,252.07138,,
s0017-3,sgd,1775476770.78,252.09381,,
s0017-3,sgd,1775476770.8,252.1978,,
s0017-3,sgd,1775476770.82,252.66002,,
s0017-3,sgd,1775476770.84,252.68033,,
s0017-3,sgd,1775476770.86,252.12782,,
s0017-3,sgd,1775476770.88,251.86116,,
s0017-3,sgd,1775476770.9,252.06436,,
s0017-3,sgd,1775476770.92,252.19733,,
s0017-3,sgd,1775476770.94,252.25908,,
s0017-3,sgd,1775476770.96,252.25208,,
s0017-3,sgd,1775476770.98,252.07515,,
s0011-1,sgd,1775476757,70.15479,,
s0011-1,sgd,1775476757,70.58637,,
s0011-1,sgd,1775476757,70.39162,,
s0011-1,sgd,1775476757,70.23545,,
s0011-1,sgd,1775476758,70.70068,,
s0011-1,sgd,1775476758,70.66283,,
s0011-1,sgd,1775476758,70.30359,,
s0011-1,sgd,1775476758,70.21123,,
s0011-1,sgd,1775476758,70.59148,,
s0011-1,sgd,1775476758,70.66054,,
s0011-1,sgd,1775476758,70.4734,,
s0011-1,sgd,1775476758,70.4863,,
s0011-1,sgd,1775476758,70.72797,,
s0011-1,sgd,1775476758,70.71016,,
s0011-1,sgd,1775476758,70.82997,,
s0011-1,sgd,1775476758,70.50774,,
s0011-1,sgd,1775476758,70.18341,,
s0011-1,sgd,1775476758,70.32357,,
s0011-1,sgd,1775476758,70.64092,,
s0011-1,sgd,1775476758,70.6945,,
s0011-1,sgd,1775476758,70.59813,,
s0011-1,sgd,1775476758,70.02086,,
s0011-1,sgd,1775476758,70.15626,,
s0011-1,sgd,1775476758,70.75842,,
s0011-1,sgd,1775476758,70.97192,,
s0011-1,sgd,1775476758,70.20181,,
s0011-1,sgd,1775476758,69.30025,,
s0011-1,sgd,1775476758,69.31852,,
s0011-1,sgd,1775476758,69.80155,,
s0011-1,sgd,1775476758,70.33904,,
s0011-1,sgd,1775476758,70.09042,,
s0011-1,sgd,1775476758,69.38567,,
s0011-1,sgd,1775476758,69.29174,,
s0011-1,sgd,1775476758,70.03051,,
s0011-1,sgd,1775476758,70.43943,,
s0011-1,sgd,1775476758,70.73727,,
s0011-1,sgd,1775476758,70.88338,,
s0011-1,sgd,1775476758,70.84478,,
s0011-1,sgd,1775476758,70.93745,,
s0011-1,sgd,1775476758,70.64718,,
s0011-1,sgd,1775476758,69.93167,,
s0011-1,sgd,1775476758,70.13929,,
s0011-1,sgd,1775476758,70.88425,,
s0011-1,sgd,1775476758,70.28181,,
s0011-1,sgd,1775476758,69.76517,,
s0011-1,sgd,1775476758,70.41822,,
s0011-1,sgd,1775476758,70.8507,,
s0011-1,sgd,1775476758,70.58005,,
s0011-1,sgd,1775476758,70.146,,
s0011-1,sgd,1775476758,70.40836,,
s0011-2,sgd,1775476757,0,,
s0011-2,sgd,1775476757,0,,
s0011-2,sgd,1775476757,0,,
s0011-2,sgd,1775476757,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
s0011-2,sgd,1775476758,0,,
