code,type,time,value1,value2,value3
s0017-3,sgd,1775479432.1,249.89046,,
s0017-3,sgd,1775479432.12,256.70547,,
s0017-3,sgd,1775479432.14,256.1749,,
s0017-3,sgd,1775479432.16,253.02628,,
s0017-3,sgd,1775479432.18,251.8367,,
s0017-3,sgd,1775479432.2,250.40051,,
s0017-3,sgd,1775479432.22,249.32631,,
s0017-3,sgd,1775479432.24,251.84425,,
s0017-3,sgd,1775479432.26,255.48802,,
s0017-3,sgd,1775479432.28,257.08975,,
s0017-3,sgd,1775479432.3,252.39992,,
s0017-3,sgd,1775479432.32,249.25687,,
s0017-3,sgd,1775479432.34,251.40483,,
s0017-3,sgd,1775479432.36,253.61064,,
s0017-3,sgd,1775479432.38,254.7038,,
s0017-3,sgd,1775479432.4,252.69371,,
s0017-3,sgd,1775479432.42,253.13693,,
s0017-3,sgd,1775479432.44,252.6799,,
s0017-3,sgd,1775479432.46,251.37865,,
s0017-3,sgd,1775479432.48,252.42285,,
s0017-3,sgd,1775479432.5,254.00378,,
s0017-3,sgd,1775479432.52,255.79198,,
s0017-3,sgd,1775479432.54,252.57959,,
s0017-3,sgd,1775479432.56,249.46397,,
s0017-3,sgd,1775479432.58,249.81573,,
s0017-3,sgd,1775479432.6,253.13904,,
s0017-3,sgd,1775479432.62,255.88153,,
s0017-3,sgd,1775479432.64,255.55058,,
s0017-3,sgd,1775479432.66,254.67221,,
s0017-3,sgd,1775479432.68,252.9418,,
s0017-3,sgd,1775479432.7,251.09593,,
s0017-3,sgd,1775479432.72,249.48308,,
s0017-3,sgd,1775479432.74,251.27946,,
s0017-3,sgd,1775479432.76,253.966,,
s0017-3,sgd,1775479432.78,252.5545,,
s0017-3,sgd,1775479432.8,248.07141,,
s0017-3,sgd,1775479432.82,250.25282,,
s0017-3,sgd,1775479432.84,270.10013,,
s0017-3,sgd,1775479432.86,293.71344,,
s0017-3,sgd,1775479432.88,300.67743,,
s0017-3,sgd,1775479432.9,291.36255,,
s0017-3,sgd,1775479432.92,279.10336,,
s0017-3,sgd,1775479432.94,273.1644,,
s0017-3,sgd,1775479432.96,270.96286,,
s0017-3,sgd,1775479432.98,259.68427,,
v00029,vibr,1775479432,-0.57134,-0.28008,2.81284
v00029,vibr,1775479432.02,0.38351,0.49196,-1.82556
v00029,vibr,1775479432.04,0.25809,-0.08897,-3.70421
v00029,vibr,1775479432.06,-0.54696,0.04032,0.14845
v00029,vibr,1775479432.08,-0.66598,-0.55766,-0.28903
v00029,vibr,1775479432.1,0.09586,0.90657,1.1541
v00029,vibr,1775479432.12,0.46703,0.48589,0.80152
v00029,vibr,1775479432.14,0.31734,-0.8438,-2.0057
v00029,vibr,1775479432.16,-0.06036,-0.46319,-0.28393
v00029,vibr,1775479432.18,0.33389,0.6429,-1.88633
v00029,vibr,1775479432.2,-0.37342,0.16171,0.50216
v00029,vibr,1775479432.22,-0.42738,-0.77792,1.45091
v00029,vibr,1775479432.24,-0.02173,0.35889,-0.81436
v00029,vibr,1775479432.26,0.14534,0.71151,-0.85755
v00029,vibr,1775479432.28,0.15534,0.63167,-0.59868
v00029,vibr,1775479432.3,0.25187,-0.73864,0.39174
v00029,vibr,1775479432.32,0.52646,0.32469,-0.94732
v00029,vibr,1775479432.34,-0.10824,-0.51871,-0.39086
v00029,vibr,1775479432.36,-0.56436,-0.62235,1.23968
v00029,vibr,1775479432.38,-0.1683,0.32729,0.35664
v00029,vibr,1775479432.4,0.4791,0.19914,-0.91667
v00029,vibr,1775479432.42,0.0692,-0.43166,-0.23221
v00029,vibr,1775479432.44,-0.36784,-0.25859,1.0608
v00029,vibr,1775479432.46,-0.57253,0.49735,1.21339
v00029,vibr,1775479432.48,-0.31401,1.15108,-0.04673
v00029,vibr,1775479432.5,0.37091,-0.09887,-2.05277
v00029,vibr,1775479432.52,1.05113,0.53536,-0.97408
v00029,vibr,1775479432.54,0.01077,-0.77081,2.33409
v00029,vibr,1775479432.56,-0.62012,-1.09739,1.68472
v00029,vibr,1775479432.58,-0.30727,0.17461,-0.59572
v00029,vibr,1775479432.6,-0.13586,0.5338,-0.61416
v00029,vibr,1775479432.62,0.2466,0.15291,-1.02946
v00029,vibr,1775479432.64,0.29335,0.12995,1.17115
v00029,vibr,1775479432.66,0.24398,-0.10136,0.99138
v00029,vibr,1775479432.68,-0.30609,-0.89066,0.34025
v00029,vibr,1775479432.7,-0.03122,0.37064,-1.64604
v00029,vibr,1775479432.72,0.12434,1.04166,-1.342
v00029,vibr,1775479432.74,0.26376,-0.21096,-0.49419
v00029,vibr,1775479432.76,-0.06256,-0.16844,0.74901
v00029,vibr,1775479432.78,-0.72522,-1.14515,2.08422
