frame_id,dx_pixels,dy_pixels,time
89,-0.8882475140103452,7.982310097330696,1.78
90,-0.8862184626545968,7.988505006603646,1.8
91,-0.8862184626545968,7.988505006603646,1.82
92,-0.8783658594567214,7.9884279878558,1.84
93,-0.8783658594567214,7.9884279878558,1.86
94,-0.8810445551310977,7.984090036772443,1.88
95,-0.8810445551310977,7.984090036772443,1.9
96,-0.8823898978907891,7.98539717145411,1.92
97,-0.8823898978907891,7.98539717145411,1.94
98,-0.8747687984945287,7.981087145054516,1.96
99,-0.8747687984945287,7.981087145054516,1.98
100,-0.8820544256707308,7.976098533427603,2.0
101,-0.8820544256707308,7.976098533427603,2.02
102,-0.8766452190011478,7.983079633993611,2.04
103,-0.8766452190011478,7.983079633993611,2.06
104,-0.8854180906812417,7.9866078065203965,2.08
105,-0.8854180906812417,7.9866078065203965,2.1
106,-0.87713665377089,7.983538933157718,2.12
107,-0.87713665377089,7.983538933157718,2.14
108,-0.8745965036025609,7.975208444192276,2.16
109,-0.8745965036025609,7.975208444192276,2.18
110,-0.875244154386337,7.977899285800845,2.2
111,-0.875244154386337,7.977899285800845,2.22
112,-0.8811273913169089,7.9813525873873346,2.24
113,-0.8811273913169089,7.9813525873873346,2.26
114,-0.8737166935270579,7.982665928871143,2.28
115,-0.8737166935270579,7.982665928871143,2.3
116,-0.8729208561862833,7.972627997329937,2.32
