time,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSGD00003.chdata,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSGD00004.chdata,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ
="2026/04/02 17:08:07.840",-0.51388,0.15037,-0.12877,-0.45288,0.01429,0.12761,21.82004,0.24138,-0.08789,-0.76856,-0.25524,-0.07902,0.45809,863.3736,0.3255,-0.02415,0.228,0.01761,-0.15703,-0.05016
="2026/04/02 17:08:07.860",2.02376,-0.52499,1.41484,-0.56682,0.08493,0.02713,19.60169,0.07538,0.03071,0.21759,0.13537,0.19808,-0.36536,861.49658,0.07154,-0.06205,-0.80419,0.43933,-0.20637,-0.29346
="2026/04/02 17:08:07.880",-0.74427,0.26529,-0.92718,-0.28402,0.01225,0.02407,20.90126,0.56209,0.091,-0.0938,-0.25846,-0.10828,0.35412,860.16455,-0.22621,-0.02073,0.98804,-0.06565,0.36783,-0.07286
="2026/04/02 17:08:07.900",0.62318,-0.42771,1.24065,-0.20334,0.10629,0.10095,20.63143,0.21976,-0.07216,-0.89409,0.44812,0.02186,-0.09102,859.57739,0.41359,0.05837,-0.75759,0.26574,0.01291,0.59972
="2026/04/02 17:08:07.920",0.71627,-0.0246,-0.42166,-0.06893,-0.03434,0.0257,20.53482,0.44405,0.02294,0.3009,-0.17034,0.12005,-0.05725,857.22119,-0.44438,0.04343,0.22039,0.04982,0.23848,0.1776
="2026/04/02 17:08:07.940",-1.28751,0.66783,-0.90323,-0.07369,0.06336,0.02345,21.65639,0.57293,0.05535,-1.01991,-0.15224,-0.13748,0.51668,857.42584,0.02492,0.1115,0.64999,-0.16675,0.3094,0.70634
="2026/04/02 17:08:07.960",1.08155,-0.09333,0.51338,0.09651,-0.06995,0.05179,19.69755,0.43874,0.02987,-0.57367,0.64323,0.2589,-0.52889,857.2063,-0.06738,0.00262,-0.79227,0.21704,0.12638,0.9669
="2026/04/02 17:08:07.980",-0.90416,0.58526,-1.62416,0.1457,-0.09734,-0.06244,20.23608,0.77451,0.06023,-0.14646,-0.30121,-0.04218,0.42482,857.20624,-0.37938,-0.02378,1.17621,-0.28849,0.51515,0.06175
="2026/04/02 17:08:08.000",-0.54868,0.42333,-0.40706,0.40802,0.03085,-0.00335,19.65218,0.35521,-0.02713,-1.18948,0.55408,0.02179,-0.09776,858.07825,0.16428,-0.02588,-0.0582,-0.08071,0.09981,0.94212
="2026/04/02 17:08:08.020",0.24789,0.36296,-0.58911,0.43927,-0.04927,0.02308,17.71878,0.47746,0.15805,-0.17349,0.61282,0.09587,-0.43383,856.75195,-0.40293,0.12741,0.07562,-0.17622,0.35738,0.68465
="2026/04/02 17:08:08.040",-1.96642,0.69803,-1.64771,0.41123,-0.00402,-0.07096,18.10996,0.56938,-0.07033,-0.96859,0.15695,-0.18421,0.29196,857.14484,-0.19252,0.10159,1.01541,-0.41766,0.33097,0.6678
="2026/04/02 17:08:08.060",0.16774,0.06691,0.10808,0.51857,-0.046,-0.04008,16.43229,0.08315,0.05694,-0.48151,1.18245,0.0931,-0.39988,856.79858,-0.00602,-0.0101,-0.74517,-0.16009,-0.11685,1.1648
="2026/04/02 17:08:08.080",-1.18599,0.451,-1.3853,0.52411,-0.03775,-0.05204,16.6987,0.35301,-0.00824,0.13089,0.43697,-0.03455,0.09924,856.2146,-0.72662,-0.01828,1.22724,-0.33464,0.36862,0.34254
="2026/04/02 17:08:08.100",-1.59612,0.34624,-0.34801,0.7166,-0.05428,0.00086,17.15081,0.14276,-0.02478,-1.2709,0.74836,-0.11478,0.07134,857.85553,0.12902,-0.13871,0.22658,-0.33328,-0.21916,0.69347
="2026/04/02 17:08:08.120",0.22905,-0.37792,0.02934,0.10545,-0.02253,-0.00478,15.63278,-0.0772,0.08244,0.45712,0.83122,0.09349,-0.26201,857.62274,-0.11715,-0.11409,-0.45479,-0.15882,0.1008,0.65883
="2026/04/02 17:08:08.140",-2.20608,0.48241,-1.57449,1.02844,-0.00408,0.04401,16.14652,0.1939,0.02435,-0.34633,0.12287,-0.18587,0.4623,857.61261,-0.45141,-0.04151,1.48088,-0.44547,0.67043,0.0184
="2026/04/02 17:08:08.160",-0.04139,-0.11564,0.68933,0.52439,-0.02408,-0.04047,15.2418,-0.43239,-0.15232,-0.43241,0.70294,0.07653,-0.21629,857.25836,0.45561,-0.06809,-1.06312,-0.04681,-0.21718,0.83594
="2026/04/02 17:08:08.180",-0.86115,0.44111,-1.16354,0.12605,-0.04608,-0.10158,16.31537,-0.15298,0.2195,0.74245,0.06644,0.02454,0.04346,856.74402,-0.5498,0.07916,0.52285,-0.30305,0.39867,0.15711
="2026/04/02 17:08:08.200",-1.60979,0.07963,-0.47405,0.50108,-0.07623,-0.04364,17.64001,-0.19187,-0.15235,-0.70986,0.07404,-0.1236,0.14642,858.60205,0.42068,0.1215,-0.01984,-0.23891,0.03696,0.30001
="2026/04/02 17:08:08.220",0.90771,-0.2501,0.90686,0.3174,-0.0314,-0.03974,16.79067,-0.56147,0.04399,0.73756,0.12807,0.12623,-0.42191,859.58264,-0.00928,-0.07202,-0.96759,0.13232,-0.33972,0.151
="2026/04/02 17:08:08.240",-1.44159,0.19578,-1.29511,0.14112,-0.07056,-0.07493,18.73824,-0.22328,0.05335,0.497,-0.8533,-0.10297,0.59214,861.19427,-0.2513,-0.07436,0.89708,-0.31684,0.04502,-0.41966
="2026/04/02 17:08:08.260",0.2694,-0.24793,1.14498,-0.10214,0.05062,0.03227,19.07195,-0.80086,-0.3187,-0.09717,0.03269,0.08084,-0.20781,863.11273,0.48369,-0.05634,-0.97653,0.25358,-0.3848,-0.0555
="2026/04/02 17:08:08.280",0.34786,-0.08951,0.139,0.02478,-0.03182,-0.04182,20.17679,-0.33563,0.32478,0.98285,-0.46547,0.04711,-0.30759,863.03204,-0.20808,-0.1193,-0.09575,-0.03488,-0.17262,-0.62204
="2026/04/02 17:08:08.300",-0.95469,-0.34786,-0.10586,-0.05274,0.05774,0.03962,21.96645,-0.41927,-0.19176,0.07404,-0.78869,-0.1021,0.3464,864.78857,0.27312,-0.05048,0.43451,-0.08421,-0.17318,-0.57194
="2026/04/02 17:08:08.320",1.63246,-0.57613,1.40717,-0.13775,0.05059,0.07614,20.79909,-0.47507,0.04954,0.69266,-0.23653,0.18017,-0.55058,865.83929,0.3731,-0.06003,-1.15388,0.31614,-0.33067,-0.5713
="2026/04/02 17:08:08.340",-0.27453,0.00324,-0.01355,-0.39968,-0.07099,-0.00943,21.68993,-0.11508,-0.02166,0.89034,-1.24755,-0.17959,0.294,866.31744,-0.03028,-0.04934,0.47243,0.04923,0.03232,-0.91318
="2026/04/02 17:08:08.360",0.48036,-0.47054,1.13507,-0.43729,0.02131,0.10655,21.27294,-0.51625,-0.09907,-0.14004,-0.42213,-0.08044,0.05201,867.46362,0.41936,0.02918,-0.66661,0.23778,-0.35652,-0.61482
="2026/04/02 17:08:08.380",1.35341,-0.28919,0.69744,-0.75341,0.0068,0.06205,20.4591,-0.35594,0.05589,1.49415,-0.67652,0.0788,-0.25435,866.79688,0.03774,0.05748,-0.48413,0.26277,-0.16744,-0.71961
="2026/04/02 17:08:08.400",-0.51255,0.01414,0.55723,-0.58851,0.06173,0.02689,21.39382,-0.06148,-0.03321,0.00628,-0.98828,-0.16584,0.28033,866.59247,0.18506,-0.02147,0.38177,0.09789,0.18135,-0.27631
="2026/04/02 17:08:08.420",1.71715,-0.66975,1.24223,-0.50216,0.04464,0.05177,20.3936,-0.527,-0.07709,0.40811,-0.17526,0.16079,-0.29009,865.51996,0.63234,0.04883,-1.56828,0.55349,-0.32324,-0.22625
="2026/04/02 17:08:08.440",0.17843,0.32704,-0.69453,-0.73866,0.0087,0.0243,21.31518,-0.04961,0.08545,0.94865,-0.88385,-0.08968,0.23352,864.2121,-0.52055,0.07945,0.64893,0.07409,0.22955,-0.82424
="2026/04/02 17:08:08.460",0.64909,-0.11097,1.20835,-0.48412,0.11582,0.12789,21.75871,-0.17863,-0.05118,-0.55788,-0.31627,-0.01455,0.16935,864.58765,0.64207,0.06195,-0.5614,0.27738,-0.29799,-0.23782
="2026/04/02 17:08:08.480",1.96615,-0.68536,1.11215,-0.61283,0.04482,0.09924,20.90626,-0.18505,0.0717,0.7703,-0.21592,0.09748,-0.1983,862.73401,0.04652,0.06529,-0.6804,0.36471,-0.10427,-0.14356
="2026/04/02 17:08:08.500",-0.65732,0.35328,-0.75486,-0.6297,0.01845,0.02044,22.4002,0.36326,0.09548,-0.41329,-0.47325,-0.11016,0.44744,861.62567,-0.26876,0.10708,0.96702,-0.01812,0.18043,-0.53283
="2026/04/02 17:08:08.520",1.73881,-0.44604,1.69037,-0.51417,0.04079,0.04711,22.00919,-0.04948,-0.04036,-0.23805,0.18637,0.15212,-0.29408,860.83972,0.55814,-0.07214,-1.25393,0.3213,-0.38327,0.33208
="2026/04/02 17:08:08.540",0.32566,0.10098,-0.67109,-0.44923,0.02749,0.09124,22.28521,0.49315,0.1049,0.52129,-0.14745,0.01451,-0.03096,859.62189,-0.43781,0.02585,0.73371,0.18211,0.19174,-0.52501
="2026/04/02 17:08:08.560",-0.34806,0.12416,0.19355,-0.11459,0.08997,0.1108,22.32185,0.38741,-0.18114,-0.98017,0.10572,-0.04524,0.27244,860.73431,0.22653,-0.05332,0.26995,-0.02923,-0.08715,0.27589
="2026/04/02 17:08:08.580",1.40127,-0.25001,0.67512,-0.23474,-0.02151,0.0692,20.50375,0.38626,0.15527,-0.00681,0.30407,0.23449,-0.37063,859.29919,-0.09576,0.01888,-0.79041,0.26345,0.11848,0.64903
="2026/04/02 17:08:08.600",-1.13619,0.15431,-1.28053,-0.05643,-0.06368,-0.04118,21.16542,0.64386,-0.10025,-0.47571,-0.2149,-0.11362,0.46799,858.2854,-0.40928,0.06558,1.35492,-0.14698,0.43802,0.03851
="2026/04/02 17:08:08.620",0.70277,0.05032,0.52284,0.10882,0.07995,0.00159,19.69206,0.28323,-0.04742,-1.0124,0.83725,0.14638,-0.21158,858.76758,0.06333,0.07593,-0.50365,-0.0072,-0.12706,0.71607
="2026/04/02 17:08:08.640",0.05155,0.28966,-0.821,0.24949,0.00456,-0.02143,18.44328,0.6708,0.22988,0.07185,0.45406,-0.00205,-0.09314,857.23376,-0.48331,0.0977,0.35079,-0.04734,0.41112,0.72163
="2026/04/02 17:08:08.660",-1.35212,0.3192,-1.03932,0.53371,-0.041,-0.05664,18.7342,0.42122,-0.08111,-1.19883,0.62595,-0.12348,0.16565,857.32288,-0.0275,-0.00115,0.70977,-0.25729,0.45907,0.81379
