time,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSGD00003.chdata,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ
="2026/04/02 15:58:38.800",0.01865,0.04492,0.00515,0.04427,-0.08565,0.10465,0.1932,0.32906,-0.23126,27.71795,862.02966,-0.25516,0.05093,-0.05042,0.02313,-0.12309,0.11302,0.09157,-0.01131,0.02331
="2026/04/02 15:58:38.820",-0.03726,0.08632,0.17715,0.09103,-0.04814,0.10792,0.00135,0.11752,-0.31578,28.26748,865.39661,-0.408,-0.00159,-0.0466,0.00328,-0.07283,-0.07554,0.11761,0.06066,-0.01191
="2026/04/02 15:58:38.840",-0.0071,0.07271,0.11879,0.08993,0.09817,0.04027,0.46488,0.00009,-0.38218,27.87097,869.46136,-0.19517,0.05742,-0.01122,-0.0997,-0.01034,-0.04546,-0.00152,-0.00694,0.00949
="2026/04/02 15:58:38.860",-0.16526,0.0833,0.03217,0.10322,-0.01198,0.14817,0.33314,0.29459,-0.40255,26.13061,872.82214,-0.31242,0.04805,0.02502,0.07894,0.00324,-0.00761,0.16475,0.00771,-0.00786
="2026/04/02 15:58:38.880",-0.11175,0.03434,-0.01644,0.02325,-0.03363,-0.00832,0.29108,0.13058,0.04097,23.30916,873.88635,-0.295,-0.00237,0.13704,-0.08872,0.02683,-0.23444,0.15879,-0.03037,0.00991
="2026/04/02 15:58:38.900",-0.0835,0.00745,-0.08696,-0.03923,0.0147,0.1115,0.28598,-0.14091,-0.0853,20.62563,873.28778,-0.1916,0.05809,-0.06044,0.08608,0.02128,0.03335,-0.03173,-0.02065,-0.05182
="2026/04/02 15:58:38.920",-0.07445,-0.0117,-0.09713,-0.03645,-0.01123,0.17647,0.08888,-0.07116,0.01643,17.48085,871.36157,-0.28581,-0.00577,0.05042,0.05931,0.05075,-0.14981,0.01451,-0.01253,-0.02258
="2026/04/02 15:58:38.940",-0.00067,0.01275,-0.1917,-0.11545,-0.00781,0.02884,0.29969,-0.0343,0.27994,14.34664,868.44324,-0.20429,-0.007,-0.00937,-0.00941,0.01282,-0.0008,0.16157,-0.02146,-0.03559
="2026/04/02 15:58:38.960",-0.0206,0.03194,-0.19374,-0.06244,0.03987,0.11776,0.13533,0.00021,0.15136,11.97017,864.5802,-0.33003,0.01544,-0.02209,0.18349,-0.02395,-0.01996,-0.06281,-0.02312,-0.0416
="2026/04/02 15:58:38.980",0.09415,-0.00724,-0.23691,0.01193,0.01113,-0.04137,-0.07615,0.02539,0.04168,12.11015,861.27899,-0.32721,-0.02393,0.04249,0.0638,0.0064,-0.19071,-0.00223,0.00099,-0.06016
="2026/04/02 15:58:39.000",0.14207,-0.05098,-0.25948,-0.03082,0.02081,0.05325,0.09549,0.17,0.10918,14.75502,858.42633,-0.05701,-0.01654,-0.13833,0.00378,0.05108,0.13591,-0.06467,-0.04719,0.01679
="2026/04/02 15:58:39.020",0.10262,0.02808,-0.20856,0.12077,0.02548,0.03862,-0.16895,0.16587,-0.03846,17.40071,856.28119,-0.19119,-0.0232,-0.04159,0.10617,0.06319,-0.0932,0.01471,0.01415,0.02912
="2026/04/02 15:58:39.040",0.16687,-0.01333,-0.04846,0.06543,-0.00226,-0.08556,0.14875,0.00112,0.27825,20.04259,855.80145,-0.04838,-0.02121,-0.02306,0.00823,0.02002,-0.02542,-0.09205,0.01721,0.01953
="2026/04/02 15:58:39.060",0.08696,0.07253,-0.10362,0.15411,0.04056,0.10798,0.00055,0.04034,-0.17816,22.5218,857.14478,-0.16472,0.00479,-0.14959,0.03396,-0.01509,0.1279,0.07635,-0.00343,-0.02751
="2026/04/02 15:58:39.080",0.07001,0.02513,-0.01371,0.1818,-0.02012,-0.04951,-0.02702,0.01149,-0.0399,25.16054,859.67322,-0.11117,-0.03805,0.07927,-0.00535,-0.03991,-0.19181,0.02813,-0.0088,-0.03296
="2026/04/02 15:58:39.100",0.02398,0.01759,0.03287,0.12244,0.00915,0.09799,0.28957,-0.02909,-0.06866,27.66909,863.11407,0.02779,0.00973,-0.08102,-0.00624,-0.01686,0.11982,0.07602,-0.01435,-0.00624
="2026/04/02 15:58:39.120",-0.07784,0.04225,0.11809,0.20809,0.04363,0.08727,0.04418,-0.01591,-0.25969,28.37835,866.82788,0.04944,0.01036,-0.05886,0.00747,0.0016,-0.1033,-0.05008,-0.05462,-0.02482
="2026/04/02 15:58:39.140",-0.08011,-0.00886,0.08761,0.12804,-0.01712,-0.09404,0.39858,-0.07641,0.12033,27.5038,870,0.07149,0.01018,-0.04429,-0.18244,0.01098,0.0114,-0.02878,0.00051,0.00262
="2026/04/02 15:58:39.160",-0.1686,0.05946,0.07238,-0.00172,0.01154,0.36288,0.13341,0.03826,-0.32447,25.48923,872.11957,0.02867,0.06782,0.01083,0.02489,0.02438,0.04658,0.04121,0.00507,-0.0051
="2026/04/02 15:58:39.180",-0.11577,0.01513,-0.00704,0.06607,-0.04948,-0.00665,0.11869,-0.04609,-0.04408,22.86784,872.98669,-0.00818,-0.01826,0.04727,-0.04504,-0.00375,-0.11878,-0.12321,0.01157,-0.02321
="2026/04/02 15:58:39.200",-0.13988,0.02726,-0.07141,-0.10742,0.02895,0.14195,0.54424,-0.10127,0.22475,19.42724,872.24451,0.18598,0.04721,-0.1369,-0.01455,0.01204,0.08359,0.02381,0.02476,0.02953
