time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSGD00003.chdata,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSGD00004.chdata
="2026/04/02 16:34:42.420",1.45302,0.08856,-1.08302,-1.52676,-0.1427,-1.13138,0.4339,0.00058,0.08624,0.3319,0.2046,-0.80899,2.11213,0.05217,-0.29098,26.3283,0.04062,-0.39635,-1.54193,871.24011
="2026/04/02 16:34:42.440",0.74177,0.23006,-1.28976,-0.3504,-0.62422,0.21456,0.31856,0.1149,0.07187,0.75914,-0.0459,-1.87392,1.71647,-0.13377,0.29464,26.22994,0.30315,-0.51667,-1.64823,868.04797
="2026/04/02 16:34:42.460",1.08307,0.28718,-0.35379,0.01382,-0.75376,-0.18457,0.54354,0.15358,0.07132,0.82657,0.30998,-1.05944,2.27155,-0.14003,0.11387,26.24265,0.42649,-0.02149,-1.67605,863.80463
="2026/04/02 16:34:42.480",1.42171,0.21831,-1.51829,-1.13859,-0.37142,-1.27433,-0.14729,0.14835,0.15097,1.12997,-0.01767,-1.11156,2.20398,-0.01068,-0.33059,27.67037,0.42957,0.01085,-0.8335,861.06006
="2026/04/02 16:34:42.500",0.76,0.21292,-0.67376,0.44111,-0.9813,0.41636,1.17772,0.20056,0.06256,1.40266,-0.06188,-2.1664,1.54504,-0.22193,0.30655,27.13089,0.75623,0.13147,-1.13587,858.16486
="2026/04/02 16:34:42.520",0.79189,0.29041,-0.46998,-0.4188,-0.86319,-1.10116,0.4418,0.02348,0.05636,1.27988,0.18471,-0.38524,2.32626,-0.15228,-0.39376,26.84589,0.50965,0.52906,-1.13116,855.90399
="2026/04/02 16:34:42.540",0.7378,0.18603,-1.43622,-0.26504,-0.84245,-0.36805,0.38466,0.0372,-0.10468,1.44139,-0.00667,-1.20398,1.32073,-0.06338,0.1306,25.29757,0.69233,0.04143,0.07135,854.51672
="2026/04/02 16:34:42.560",-0.35127,-0.1283,0.315,1.3236,-1.27767,0.51262,0.5772,0.1467,0.17375,1.00142,0.18003,-0.58722,0.45159,-0.17036,0.16392,22.18822,0.61963,0.5643,-0.35029,853.38251
="2026/04/02 16:34:42.580",0.33276,-0.28503,-0.63435,-0.50757,-0.17006,-1.8236,0.02712,-0.04263,-0.00739,0.90634,-0.11425,0.39361,0.792,0.02539,-0.42765,20.58901,0.32199,0.10868,-0.2561,853.95947
="2026/04/02 16:34:42.600",-0.80289,-0.27401,-0.14166,0.82146,-0.50996,0.34147,-0.04194,0.05091,-0.01676,0.62925,0.025,-0.12036,-0.36664,-0.16231,0.21023,17.54799,0.44146,-0.0431,0.47002,853.89948
