time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSGD00003.chdata,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ
="2026/04/02 16:31:39.700",0.25777,-0.15427,-0.26445,0.59315,0.07157,0.03452,0.78543,0.12666,-0.93494,0.11233,-0.32179,-0.59319,-0.54627,-0.62968,-0.29888,23.72669,858.52032,1.42437,0.1523,0.11207
="2026/04/02 16:31:39.720",0.45316,0.00535,-0.33705,0.88436,-0.04825,-0.03832,1.21111,0.02244,-1.39769,0.03766,-0.54391,-0.88114,-0.68848,-0.59299,-0.002,25.22368,857.61035,1.05582,0.09107,0.14435
="2026/04/02 16:31:39.740",-0.06073,0.1392,-0.01184,0.59384,0.03541,-0.03982,0.77,0.02948,-0.76112,0.08331,-0.34692,-1.95426,-0.35293,-0.94528,0.44274,25.6698,856.5636,1.10485,-0.02834,-0.15711
="2026/04/02 16:31:39.760",0.8488,0.28385,-0.43215,-0.04246,0.09245,0.04206,1.1026,0.07373,-1.36633,0.12566,-0.70154,-1.50782,-0.62408,-0.8262,-0.44807,26.15032,856.91016,1.0687,-0.11606,-0.12529
="2026/04/02 16:31:39.780",0.19251,0.21043,-0.22738,1.02594,0.08465,0.04939,0.79487,0.0619,-1.00703,0.07832,-0.76676,-1.80101,-0.45475,-1.13443,0.16851,25.01086,857.12451,0.48619,-0.11653,-0.30631
="2026/04/02 16:31:39.800",0.43125,0.2712,-0.41891,0.59729,0.02848,-0.00787,0.99298,0.23591,-0.78871,0.08846,-0.66693,-1.8287,-0.16399,-0.81529,-1.37121,21.98513,858.15332,0.28179,-0.10097,-0.07985
="2026/04/02 16:31:39.820",0.52388,0.32748,-0.73576,0.53166,-0.11085,-0.04815,0.90235,0.00594,-0.55448,0.10756,-0.71064,-1.52618,0.8708,-0.54635,-0.306,19.6273,860.03339,-0.04041,-0.06586,0.0348
="2026/04/02 16:31:39.840",0.07165,0.30978,-0.415,0.38838,-0.02958,-0.00927,0.40999,0.01515,0.10253,-0.07651,0.04715,-0.96787,0.32609,0.03655,-0.87617,17.19208,860.25452,-0.52987,-0.0819,-0.07175
="2026/04/02 16:31:39.860",0.54871,0.17564,-0.46,0.24448,-0.03281,-0.01882,0.32844,-0.01381,0.04454,0.08339,-0.13595,-1.46316,0.47015,-0.3732,-0.2941,14.70175,859.99017,-1.12227,-0.10538,0.0967
="2026/04/02 16:31:39.880",-0.06005,0.19518,-0.13348,0.0343,-0.09716,-0.04265,-0.10528,-0.08733,0.60773,-0.06369,-0.24111,-1.47586,0.20087,-0.3936,-0.04521,12.12584,859.79272,-1.11983,-0.07458,-0.09053
="2026/04/02 16:31:39.900",0.4163,0.06681,-0.50151,-0.03533,-0.00258,0.02996,-0.29481,-0.03912,0.67186,0.06561,-0.38978,-0.70367,0.2814,0.18045,-0.55032,9.94062,859.54181,-1.06478,-0.05202,0.13373
="2026/04/02 16:31:39.920",-0.18522,0.03232,0.0731,-0.31583,-0.01358,-0.02893,-0.47857,-0.06348,0.77412,0.03994,-0.09724,-0.54528,0.52079,0.09553,0.64311,9.42538,858.49841,-1.53577,-0.0641,0.10635
="2026/04/02 16:31:39.940",0.12945,0.10287,0.03609,-0.27587,0.01623,-0.0262,-0.70876,0.06509,1.07832,0.12879,0.05052,0.07368,0.58393,0.35908,-0.29331,10.50072,858.22003,-1.05491,-0.02184,-0.12387
="2026/04/02 16:31:39.960",-0.06322,0.08945,-0.10885,-0.51606,-0.0242,-0.0165,-0.68707,-0.06915,1.07456,0.10416,0.03572,0.60073,0.42413,0.48686,0.18033,12.83762,858.60693,-1.51531,0.01319,0.03238
="2026/04/02 16:31:39.980",-0.63228,-0.00136,0.10382,-0.59248,-0.00152,0.00618,-1.02497,-0.0112,1.30951,0.17947,0.3103,0.51266,0.66108,0.49789,0.23162,14.55733,859.85193,-1.46583,0.08625,0.21546
="2026/04/02 16:31:40.000",-0.02414,-0.04851,0.01167,-0.68976,-0.09707,0.02481,-0.75036,-0.28943,0.86812,-0.04209,0.38654,0.99784,0.49869,1.06703,-0.2426,17.15545,861.85132,-1.0104,0.15225,0.30597
="2026/04/02 16:31:40.020",-0.71201,-0.16919,0.33885,-0.24763,-0.02528,-0.0009,-0.88595,0.15678,1.38668,-0.13354,0.64954,1.03552,0.39312,0.50331,0.93126,20.43782,863.6994,-1.02034,0.15033,0.21733
="2026/04/02 16:31:40.040",-0.42963,-0.13846,0.44907,-1.08725,-0.07133,0.04914,-0.64387,-0.0089,0.69088,-0.0654,0.66306,1.47653,0.65777,0.51551,-0.15404,23.54136,866.85107,-0.59704,0.11192,-0.03599
