time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSGD00003.chdata,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ
="2026/04/02 17:04:08.820",-0.0065,-0.01544,-0.02438,0.13914,-0.00876,0.04144,-0.13363,-0.03087,0.31748,0.05264,-0.01309,-0.00182,13.59859,-0.10804,-0.07073,-0.04031,858.31079,0.1236,0.05033,0.01534
="2026/04/02 17:04:08.840",0.07997,0.00715,0.11711,0.11594,-0.00294,-0.06388,-0.22014,-0.00583,0.09382,-0.02707,-0.0155,-0.01426,16.48394,-0.11573,0.01549,0.17643,855.45422,0.08265,-0.02888,-0.09742
="2026/04/02 17:04:08.860",0.00343,-0.0151,-0.0371,0.14565,-0.02302,-0.09924,-0.2497,0.00906,0.1358,-0.00276,-0.00452,-0.02922,19.47594,-0.01527,-0.03145,0.00913,853.1756,0.01948,0.00609,-0.04667
="2026/04/02 17:04:08.880",0.08485,-0.01824,0.06241,0.11253,-0.02922,-0.08757,-0.01324,-0.13897,0.55244,-0.02241,-0.02381,-0.03553,21.80091,-0.00432,0.02726,0.0913,851.96924,0.05739,0.04721,-0.00652
="2026/04/02 17:04:08.900",0.08037,0.01665,0.03664,0.12024,0.01287,-0.13601,-0.15087,-0.05155,0.11646,-0.03135,-0.00498,0.01989,24.26448,0.09565,-0.03094,0.02679,852.18842,-0.04534,-0.04254,0.10595
="2026/04/02 17:04:08.920",-0.0178,0.01489,-0.10706,0.06826,-0.01219,-0.05977,0.02852,-0.10503,0.31345,-0.00502,0.02144,0.02004,26.01757,0.13673,0.00536,-0.08056,854.41125,0.0243,-0.01982,-0.05349
="2026/04/02 17:04:08.940",0.09258,0.00981,0.07538,-0.07858,0.00702,-0.03758,0.19628,-0.0819,0.18962,-0.0336,-0.01544,-0.02271,26.90276,0.10105,0.04595,0.04035,858.02222,-0.0285,0.00282,0.1263
="2026/04/02 17:04:08.960",-0.11424,0.01639,-0.08543,-0.04983,0.01838,-0.0032,0.01319,0.02682,-0.14591,0.04127,0.00302,0.01089,26.02925,0.21887,-0.03376,-0.19448,861.70581,-0.03844,-0.02165,0.08585
="2026/04/02 17:04:08.980",-0.02644,0.01559,-0.04415,-0.15445,-0.00403,0.03497,0.2901,-0.06923,0.12615,-0.00423,-0.01825,-0.01671,23.52152,0.04377,0.03285,-0.02397,864.71509,0.09313,0.07045,-0.04543
="2026/04/02 17:04:09.000",-0.07043,0.0074,0.0313,-0.16626,0.01331,0.11554,0.06808,0.086,-0.41985,-0.03904,-0.01752,0.0325,20.63538,0.07891,-0.01206,0.0034,867.34552,-0.07317,-0.01701,0.01089
="2026/04/02 17:04:09.020",-0.10592,0.00343,-0.08511,-0.09513,-0.00485,0.09187,0.09182,-0.01626,-0.11481,0.05497,-0.01524,0.03562,18.12693,0.02235,-0.01362,-0.1373,869.02673,0.0383,-0.01104,0.04018
="2026/04/02 17:04:09.040",-0.01994,0.00592,0.04328,-0.19942,0.01975,0.12661,0.17166,0.00054,-0.25117,-0.00479,-0.0203,-0.03382,15.72871,-0.06785,0.04618,0.07211,868.58215,0.02452,-0.01997,0.01492
="2026/04/02 17:04:09.060",-0.11266,-0.0062,0.03064,-0.06085,-0.00971,0.09254,-0.18867,0.06425,-0.36784,-0.00739,0.00509,0.02091,13.53828,-0.02095,-0.0211,-0.10363,866.48138,0.05606,-0.00464,0.08623
="2026/04/02 17:04:09.080",0.04985,-0.0069,0.04835,-0.01588,-0.0055,0.06806,0.06374,-0.05852,0.15811,-0.06618,0.01261,0.0114,12.08477,-0.18353,0.00946,0.02048,863.48157,0.09435,-0.00042,-0.0766
="2026/04/02 17:04:09.100",0.00707,0.00696,0.01986,0.11281,0.0063,0.01323,-0.19517,0.06243,-0.19829,0.15077,-0.00027,0.0129,12.19626,-0.09551,0.02277,0.13704,860.47693,0.07787,-0.02924,0.12871
="2026/04/02 17:04:09.120",0.00938,0.00689,-0.05322,0.16091,-0.00515,-0.03508,-0.19663,-0.03923,0.29605,0.04251,-0.00273,-0.00843,14.43285,-0.07342,-0.04029,-0.1101,856.90442,0.03697,0.00101,-0.05202
="2026/04/02 17:04:09.140",0.09255,-0.00112,0.09554,0.16677,-0.00809,-0.02702,0.03694,-0.07381,0.27465,0.02308,-0.01929,-0.0237,17.24405,-0.09583,0.01825,0.19685,853.34644,0.0798,0.01163,0.01052
="2026/04/02 17:04:09.160",0.01766,-0.00505,-0.00079,0.17631,0.00656,-0.12331,-0.32986,0.03507,0.07612,0.02344,0.00765,-0.01121,19.7136,0.06596,-0.0399,0.02905,851.74054,0.07483,-0.01673,0.08849
="2026/04/02 17:04:09.180",0.15884,-0.0212,0.06907,0.08599,0.01577,-0.08935,0.10726,-0.06999,0.48572,-0.00192,0.00359,-0.00185,22.31461,-0.00737,-0.00785,0.04614,852.36646,0.06717,0.03168,-0.07312
="2026/04/02 17:04:09.200",0.08374,0.00046,0.01655,0.09387,0.00227,-0.12245,0.02914,0.04865,0.05299,-0.06726,-0.03429,-0.02327,25.03984,0.13534,0.044,0.13853,853.51794,-0.03471,-0.0018,0.023
="2026/04/02 17:04:09.220",-0.0201,0.00365,-0.04744,0.03226,0.00366,-0.13754,-0.07814,-0.03319,0.19804,0.0199,0.00739,0.01065,26.8707,0.14495,-0.03189,-0.17049,855.06702,0.07709,0.01327,-0.10882
="2026/04/02 17:04:09.240",0.0508,0.00582,-0.01593,-0.06135,0.00235,-0.03692,0.31075,-0.05679,0.07615,-0.00697,0.00782,0.02304,26.94087,0.10138,0.00704,0.03655,858.91553,-0.03417,-0.00987,-0.18715
="2026/04/02 17:04:09.260",-0.12427,0.0054,0.02551,-0.13284,0.00202,0.03663,-0.06007,0.04336,-0.25226,-0.002,-0.03864,-0.04022,25.9849,0.13911,-0.00528,-0.09139,863.69116,-0.03804,-0.04646,-0.03893
="2026/04/02 17:04:09.280",-0.05378,0.00822,0.01351,-0.17011,-0.02602,0.05194,0.24125,-0.12613,-0.04559,-0.00433,0.01593,0.01554,23.70386,0.01751,-0.00712,-0.11076,867.64062,-0.02543,0.00798,-0.07238
="2026/04/02 17:04:09.300",-0.07458,0.00214,0.02881,-0.1757,-0.01129,0.08612,0.23451,0.00923,-0.41884,-0.01768,-0.02503,-0.02294,20.37777,0.07854,0.04559,-0.05966,869.23419,-0.00913,0.00236,-0.01458
="2026/04/02 17:04:09.320",-0.16589,0.04727,-0.17564,-0.15609,-0.01531,0.10173,0.00709,0.04449,-0.2578,-0.05586,-0.00196,0.0079,17.51329,-0.0502,-0.0258,-0.20758,869.14587,-0.05531,-0.01305,-0.0009
