time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSGD00003.chdata,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ
="2026/04/02 15:35:04.060",-2.05773,-0.12858,0.83062,2.47456,0.25864,-4.90496,0.01667,-0.00339,0.00178,-3.20442,-0.53039,7.4541,-2.57585,-0.3792,3.29191,73.6796,1152.078,0.5692,-0.03114,0.01209
="2026/04/02 15:35:04.080",-0.75307,-0.06845,0.45571,2.15701,-0.1203,0.03953,0.01383,-0.0034,0.01613,-2.13169,-0.39266,5.2777,-3.96314,-0.41087,4.09414,0,1107.32617,0.86284,-0.02472,0.00789
="2026/04/02 15:35:04.100",0.32887,0.00482,0.01176,1.22809,-0.44983,5.23627,0.02987,-0.00996,-0.00327,-0.66922,-0.1808,2.23477,-4.50596,-0.39109,4.10769,0,1018.32776,1.02348,-0.04043,0.05689
="2026/04/02 15:35:04.120",1.62068,0.08287,-0.48086,0.52204,-0.66408,9.42311,0.01606,-0.00097,-0.00038,0.92806,0.13651,-1.26313,-4.39835,-0.32558,3.45292,0,901.80273,1.00276,-0.05924,0.0963
="2026/04/02 15:35:04.140",2.53807,0.17815,-0.82881,-0.60986,-0.72732,11.84895,0.03891,0.0018,-0.00529,2.35001,0.40504,-4.46379,-3.40134,-0.17115,2.19605,0,779.72858,0.7098,-0.03688,0.05833
="2026/04/02 15:35:04.160",2.81634,0.25233,-1.05244,-1.41714,-0.74298,12.45171,0.02285,0.00603,0.01135,3.37279,0.65183,-6.91001,-1.78075,-0.00379,0.55259,0,674.97052,0.43524,0.07336,-0.27533
="2026/04/02 15:35:04.180",2.93027,0.21149,-1.11482,-1.86851,-0.57763,10.50174,0.01373,0.00789,0.01024,3.76294,0.74525,-8.09537,0.03932,0.18383,-1.15125,0,605.52332,-0.00673,-0.02232,0.16344
="2026/04/02 15:35:04.200",2.22439,0.14124,-0.91802,-2.1335,-0.36708,7.01397,-0.01012,-0.00945,0.0081,3.42602,0.68335,-7.88041,1.95792,0.34147,-2.7005,0,582.57666,-0.47072,0.00602,0.02787
="2026/04/02 15:35:04.220",1.30152,0.08709,-0.67637,-1.82175,-0.05869,2.08881,0.00515,0.00988,0.00958,2.52184,0.58495,-6.26636,3.4267,0.46881,-3.74086,29.84817,610.41925,-0.81366,0.0076,0.04159
="2026/04/02 15:35:04.240",0.09725,0.03982,-0.24241,-1.30623,0.31483,-3.17573,0.00561,0.00768,-0.00676,1.10877,0.32672,-3.54079,4.34444,0.51333,-4.10563,110.27735,684.2157,-1.07158,0.04583,-0.04942
="2026/04/02 15:35:04.260",-1.27625,-0.03014,0.2378,-0.59655,0.67117,-7.70484,0.00822,-0.00767,-0.01186,-0.55085,0.02809,-0.20958,4.48807,0.49942,-3.84558,172.82799,789.41302,-1.03953,0.03108,-0.01998
="2026/04/02 15:35:04.280",-2.08209,-0.06757,0.62534,0.33362,1.0139,-11.11017,-0.00322,-0.01056,-0.0116,-2.04477,-0.23322,3.10259,3.72931,0.36177,-2.83105,206.78258,907.55927,-0.92922,0.05089,-0.04627
="2026/04/02 15:35:04.300",-2.92308,-0.12024,0.99836,0.89683,1.13087,-12.35524,-0.01782,-0.01361,-0.00666,-3.19895,-0.44723,5.93614,2.4542,0.2249,-1.37072,207.23077,1016.63025,-0.59735,0.0448,-0.05155
="2026/04/02 15:35:04.320",-2.93793,-0.16478,1.1015,1.56238,1.01555,-11.45193,-0.00946,-0.00594,-0.00525,-3.74373,-0.52137,7.69232,0.5769,-0.01612,0.37115,174.07094,1097.83154,-0.19805,0.02086,-0.04211
="2026/04/02 15:35:04.340",-2.54151,-0.17907,1.0665,1.74102,0.71401,-8.60243,-0.01551,-0.01275,-0.00581,-3.65931,-0.58082,8.09454,-1.34508,-0.23148,2.03999,113.4881,1136.6864,0.26879,0.01579,-0.01152
="2026/04/02 15:35:04.360",-1.77925,-0.14833,0.87901,1.55541,0.28212,-3.98771,-0.00321,-0.00258,-0.00522,-2.84089,-0.5057,7.05708,-3.01384,-0.32199,3.35201,36.41916,1125.7804,0.67502,-0.04444,0.06358
="2026/04/02 15:35:04.380",-0.46156,-0.09527,0.47488,1.36084,-0.13634,0.99328,0.00755,-0.00032,0.00952,-1.54601,-0.3411,4.7541,-4.19581,-0.41671,4.09568,0,1067.14453,0.90728,-0.03314,0.0427
="2026/04/02 15:35:04.400",0.63768,-0.01376,0.05811,0.51411,-0.44943,6.06711,0.01831,-0.00097,-0.01255,0.05755,-0.13225,1.6793,-4.45097,-0.39739,4.11193,0,971.60217,1.06338,-0.03807,0.04469
="2026/04/02 15:35:04.420",1.86351,0.07717,-0.40953,-0.04146,-0.64382,9.94203,0.02626,0.00788,0.01091,1.64655,0.20236,-1.73441,-4.0834,-0.31186,3.43503,0,857.35748,0.9777,-0.04163,0.07127
="2026/04/02 15:35:04.440",2.66089,0.15997,-0.75672,-0.6953,-0.70487,12.08439,0.0139,0.00554,0.00742,2.91841,0.43123,-4.76474,-2.86598,-0.2005,2.13001,0,745.44611,0.67521,-0.02883,0.02649
="2026/04/02 15:35:04.460",2.85211,0.27223,-0.96769,-1.2947,-0.70389,12.18437,0.02293,-0.00062,0.01128,3.71495,0.65565,-7.06065,-1.15492,-0.00598,0.50138,0,655.53046,0.32267,0.00836,-0.05983
="2026/04/02 15:35:04.480",2.791,0.27951,-1.08359,-1.3867,-0.54989,9.87345,0.04063,0.01983,0.00143,3.82997,0.75949,-8.00663,0.6591,0.18585,-1.21972,0,604.43207,-0.11316,0.00088,0.04552
="2026/04/02 15:35:04.500",1.9739,0.17881,-0.92662,-1.37047,-0.34532,6.11521,0.01209,0.00083,-0.00195,3.21012,0.67504,-7.52998,2.4717,0.37285,-2.76488,0,600.66504,-0.51508,0.0439,-0.05145
="2026/04/02 15:35:04.520",1.01408,0.09355,-0.67694,-1.04093,-0.019,1.07486,-0.00204,0.0019,0.00222,2.02533,0.53486,-5.77232,3.70703,0.47217,-3.7621,61.12008,644.22986,-0.84495,0.03767,-0.0099
="2026/04/02 15:35:04.540",-0.25139,0.03215,-0.27551,-0.50497,0.37783,-4.0998,-0.00055,-0.00197,0.00147,0.42858,0.25567,-2.92685,4.39075,0.53695,-4.13219,128.74773,727.82678,-1.06845,0.05115,-0.06661
="2026/04/02 15:35:04.560",-1.50871,0.00476,0.24371,0.01327,0.73704,-8.40712,0.02022,-0.02134,0.00273,-1.18298,0.00836,0.33618,4.26185,0.50781,-3.77342,176.28101,835.57074,-0.99961,0.0358,-0.03928
="2026/04/02 15:35:04.580",-2.29428,-0.05993,0.54641,0.64815,1.0561,-11.50301,-0.03225,0.00119,0.00996,-2.64821,-0.22552,3.56418,3.27084,0.34201,-2.75658,194.78389,947.37988,-0.8817,0.02642,-0.01087
="2026/04/02 15:35:04.600",-2.95376,-0.10929,0.9333,0.95811,1.10843,-12.24707,-0.01472,-0.00754,0.01248,-3.61713,-0.44462,6.22462,1.85075,0.09538,-1.18519,180.63974,1043.59851,-0.4939,0.01691,0.01665
="2026/04/02 15:35:04.620",-2.84948,-0.15656,1.07277,1.18017,0.95319,-10.99329,-0.02541,-0.01248,-0.01252,-3.94179,-0.5034,7.69272,-0.13589,-0.0355,0.45194,137.23691,1106.98914,-0.12983,-0.01456,0.06365
="2026/04/02 15:35:04.640",-2.37344,-0.18092,1.01806,1.16523,0.58749,-7.76885,-0.00117,-0.00938,-0.02201,-3.54642,-0.53492,7.86078,-1.89578,-0.23089,2.11133,73.84068,1126.16406,0.34544,-0.02079,0.09088
