time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSGD00003.chdata,WSGD00004.chdata,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ
="2026/04/02 16:17:51.860",0.33392,-0.06143,-0.9811,0.01894,0.19796,-0.25748,1.41651,-0.68287,1.63804,-0.57368,-0.04728,-0.0154,22.64594,865.47083,0.00553,-0.01181,-0.35875,0.45648,0.08653,-0.07173
="2026/04/02 16:17:51.880",0.08714,-0.06424,0.33988,0.03545,0.31054,-0.36244,-0.5717,0.05779,-0.59978,-0.46038,0.03935,-0.01077,21.10562,864.77625,0.24797,0.14311,0.57779,-0.06448,0.13174,-0.26437
="2026/04/02 16:17:51.900",0.48462,-0.2145,-0.39958,-0.20289,0.43654,-0.20596,0.29042,-0.29055,0.81281,-0.26403,-0.00213,0.03122,21.29384,865.79578,0.10129,-0.2437,-0.66145,-0.58858,-0.07163,0.59671
="2026/04/02 16:17:51.920",0.35505,-0.15779,-0.72926,0.17927,-0.01664,-0.31215,0.74037,-0.34243,0.49451,-0.27903,0.00241,-0.02066,20.45155,865.13141,-0.12652,0.17938,0.36838,-0.36926,0.07556,-0.14482
="2026/04/02 16:17:51.940",0.08271,-0.05308,0.66703,-0.1492,0.24232,-0.70927,-0.74641,0.25383,-0.65019,-0.33166,0.0039,0.0034,20.21385,863.87079,0.19455,-0.1842,-0.21172,-1.00625,-0.07599,0.39278
="2026/04/02 16:17:51.960",0.62288,-0.06913,-1.05674,0.0287,-0.04529,-0.33936,1.19604,-0.35993,0.67948,-0.2219,-0.03558,0.01789,19.36495,863.1485,-0.07903,0.21929,-0.43517,-0.9136,-0.03824,0.30451
="2026/04/02 16:17:51.980",0.03092,0.03563,0.37039,0.17887,0.07521,-0.35453,-0.07916,0.82897,-1.28135,-0.39718,0.0069,-0.06218,17.53612,861.51489,0.00713,0.01923,0.32292,-1.08947,0.0618,-0.10137
="2026/04/02 16:17:52.000",0.44797,0.01708,-0.00414,-0.10944,0.32804,-0.5751,-0.24476,0.46561,-0.41827,0.16332,-0.06744,-0.06233,18.56978,861.38843,-0.02139,-0.07609,-0.6904,-1.43168,-0.17091,0.67208
="2026/04/02 16:17:52.020",0.26655,-0.13288,-0.79415,0.14037,-0.19754,-0.39668,0.6419,0.21925,0.00683,-0.1572,0.0249,-0.02027,18.04938,861.1521,-0.35516,0.14232,-0.03384,-0.96789,0.03046,-0.09362
="2026/04/02 16:17:52.040",-0.06961,-0.07219,0.77444,0.00274,0.02201,-0.11826,-1.28528,0.59014,-1.57294,-0.10282,0.03926,-0.00915,17.60429,860.95135,-0.02878,-0.0348,-0.15199,-1.60273,-0.06106,0.44793
="2026/04/02 16:17:52.060",0.30616,-0.0433,-0.77503,0.04972,0.02016,-0.09333,0.16844,0.15218,0.2306,0.24783,0.03828,0.03121,17.88578,860.94238,-0.37592,-0.07522,-0.7694,-1.39151,-0.05521,0.44378
="2026/04/02 16:17:52.080",-0.15237,0.11413,0.23155,0.25343,-0.18319,-0.10486,-0.59267,0.38503,-1.15714,0.17132,-0.05963,-0.02531,17.29646,859.82251,-0.17748,0.12214,0.11118,-0.9543,0.17311,-0.342
="2026/04/02 16:17:52.100",0.05126,0.01173,0.43167,-0.09099,-0.10363,-0.48893,-1.01015,0.15245,-0.62676,0.29457,-0.02282,-0.01043,18.84262,860.32123,0.04944,-0.11668,-0.78159,-1.70732,-0.16099,0.48663
="2026/04/02 16:17:52.120",-0.11215,-0.02599,-0.41822,0.15833,-0.36192,0.15785,0.46999,0.02397,-0.18523,0.26519,0.04494,0.06026,18.64729,860.51544,-0.33375,0.01482,-0.08636,-0.78436,0.10905,-0.34166
="2026/04/02 16:17:52.140",-0.2829,0.03568,0.82894,0.13256,0.14449,0.14122,-1.34452,0.42475,-1.30457,0.17373,-0.04923,0.0242,18.20847,861.09796,0.08162,-0.00213,0.25869,-1.12042,0.06019,-0.05184
="2026/04/02 16:17:52.160",-0.052,0.05952,-0.31731,-0.02804,-0.01018,0.24271,-0.07707,-0.27166,0.49425,0.40947,0.03827,0.05185,19.35169,863.13379,-0.2239,-0.10048,-0.87116,-1.06845,-0.08648,0.33721
="2026/04/02 16:17:52.180",-0.34282,-0.01682,0.1003,0.14466,-0.29581,0.71739,-0.38996,0.23777,-1.06,0.18586,-0.00372,0.01735,18.79833,863.55273,-0.36928,0.12569,0.51861,-0.49665,0.1078,-0.42398
="2026/04/02 16:17:52.200",-0.27246,-0.01168,0.71228,-0.03353,0.10223,0.26305,-1.49757,0.41626,-1.05613,0.53495,0.04802,-0.00279,19.31591,863.98358,-0.03475,-0.11622,-0.44098,-1.09499,-0.16958,0.62356
="2026/04/02 16:17:52.220",-0.26414,0.00706,-0.40684,0.06539,-0.20092,0.46127,0.77513,-0.0597,0.4091,0.40972,0.0404,0.04674,18.82636,864.83514,-0.44566,0.0936,-0.35562,-0.3716,0.05738,-0.25989
="2026/04/02 16:17:52.240",-0.32069,0.0525,0.78303,0.00781,-0.17108,0.30098,-1.2169,0.60917,-1.90903,0.41848,-0.04316,-0.00211,17.61843,864.97229,-0.04262,0.05155,0.53151,-0.34137,0.01129,-0.30425
="2026/04/02 16:17:52.260",-0.33149,0.00972,0.10389,-0.15603,-0.13532,0.35328,0.00513,0.25934,0.00635,0.57288,0.06624,0.06006,18.65596,865.51965,-0.24265,-0.03984,-0.51661,-0.02372,-0.10574,-0.01463
="2026/04/02 16:17:52.280",-0.19561,0.0899,-0.16033,0.16705,-0.3648,0.62069,0.36397,0.41888,-0.19708,0.17112,-0.02484,0.01487,18.20699,864.71045,-0.22022,-0.06506,0.36583,0.43861,0.09786,-0.61552
="2026/04/02 16:17:52.300",-0.76851,0.10512,1.16864,-0.14989,0.06835,0.41628,-1.27431,0.01634,-0.75578,0.42582,-0.0006,-0.0313,18.43607,864.64539,0.20548,0.12961,-0.01921,0.11141,-0.03283,0.1121
="2026/04/02 16:17:52.320",0.28271,0.08241,-0.84077,0.00588,-0.06705,0.48536,0.87016,-0.13768,0.88163,0.22419,0.08229,0.09928,19.35489,865.57269,-0.32781,-0.12871,-0.25133,0.92915,0.00244,-0.18021
="2026/04/02 16:17:52.340",-0.65258,0.05782,0.88276,0.08907,-0.23557,0.72255,-0.78073,0.24085,-0.59225,0.13506,-0.0578,0.00269,18.96554,865.46967,0.13442,0.046,0.60088,0.8427,0.06666,-0.35464
="2026/04/02 16:17:52.360",-0.19804,-0.06831,0.29047,-0.14929,0.28349,0.11742,-0.38242,-0.39348,0.90761,0.24528,0.09531,0.00967,19.77057,866.89941,0.04244,-0.07695,-0.29821,0.76166,-0.10346,0.2357
="2026/04/02 16:17:52.380",0.143,0.0352,-0.52434,0.06651,-0.31347,0.53502,0.77593,-0.69799,0.75587,-0.1541,0.06264,0.07607,20.16844,867.63525,0.08365,0.09154,0.41201,1.36973,0.08977,-0.54372
="2026/04/02 16:17:52.400",-0.74707,0.02734,1.11139,-0.1357,0.1203,-0.04329,-0.95145,-0.21501,0.23993,0.07429,0.00311,-0.02518,20.94717,867.3158,0.42068,-0.02437,0.31378,0.86123,-0.02507,-0.01072
="2026/04/02 16:17:52.420",0.59558,0.0837,-1.05517,-0.06769,-0.10365,0.11238,1.00117,-0.46845,1.53798,-0.18326,0.15353,0.11788,22.32495,867.50531,-0.04619,-0.08845,-0.12536,1.52295,-0.05047,-0.20711
="2026/04/02 16:17:52.440",-0.33342,0.10806,0.23593,0.10383,-0.38395,0.36028,0.13587,-0.3582,0.16058,-0.08516,-0.04061,0.00026,21.47589,867.37006,0.47505,0.14007,0.73088,1.51531,0.10848,-0.49045
="2026/04/02 16:17:52.460",-0.02813,-0.00363,-0.09806,-0.20724,0.12328,-0.08553,0.05476,-0.37197,0.95595,-0.14102,0.02649,-0.0008,22.4796,868.23206,0.20197,-0.11852,0.04198,0.93427,-0.15451,0.28175
