time,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSGD00003.chdata,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ
="2026/04/02 15:40:47.620",-0.18827,-0.03672,-0.15843,-0.56883,0.1669,-0.55908,20.94602,-0.01859,-0.04514,-0.057,862.54388,0.18897,0.01995,-0.22208,0.3685,0.09552,0.21262,-0.25611,-0.00446,-0.1178
="2026/04/02 15:40:47.640",-0.06829,0.14555,-0.16172,-0.28016,-0.02337,0.26481,19.65021,-0.0056,-0.00674,0.02176,863.40936,0.22256,-0.09455,0.27868,-0.05356,-0.00832,-0.4646,0.05924,-0.00185,-0.00701
="2026/04/02 15:40:47.660",-0.21509,0.0097,0.08182,0.78346,-0.02277,-0.43607,19.61592,0.05933,-0.01609,0.00801,866.35986,-0.00739,0.01327,-0.22804,-0.08959,0.02249,-0.19143,0.15967,-0.00449,-0.09896
="2026/04/02 15:40:47.680",-0.11141,-0.01686,0.19511,-1.53773,0.0313,-0.47581,17.97177,-0.04189,-0.00264,0.02566,866.29248,0.28304,-0.08057,0.05375,0.32872,0.07239,0.1234,-0.42629,0.01123,0.08304
="2026/04/02 15:40:47.700",-0.05311,0.05161,0.19397,0.82906,-0.10147,-0.16306,18.30996,-0.05882,-0.02453,0.03628,867.74335,-0.22228,0.01033,0.10989,-0.45783,-0.07577,-0.41352,0.32096,-0.01864,0.02385
="2026/04/02 15:40:47.720",-0.08607,-0.07849,0.41866,-0.70435,0.08055,-0.64141,19.55483,-0.06994,-0.01707,-0.02279,867.50604,0.00876,0.08475,-0.04968,0.24498,0.03159,0.44263,-0.38174,-0.01506,-0.03433
="2026/04/02 15:40:47.740",0.06288,0.05725,0.22016,-0.50494,0.00222,-0.05008,19.44487,-0.09445,0.0233,0.00919,865.10541,0.02025,0.01844,0.10632,-0.24801,-0.05988,0.02173,0.02839,-0.04183,0.30026
="2026/04/02 15:40:47.760",0.02021,-0.07257,0.15354,0.91538,-0.0278,0.02125,21.49088,0.00491,0.01871,-0.05328,864.50305,-0.30855,0.08897,-0.22871,-0.26258,-0.05449,0.01106,0.19015,-0.03202,-0.11203
="2026/04/02 15:40:47.780",0.09802,-0.04016,0.15777,-1.31411,0.07509,0.12727,21.04775,0.03456,-0.03549,-0.00292,861.63654,0.05779,-0.02892,-0.02568,0.2022,0.0321,0.5695,-0.26256,-0.00781,0.13311
="2026/04/02 15:40:47.800",0.10959,0.12519,-0.06679,0.92255,-0.02235,0.34019,21.43183,-0.08705,0.02272,0.02642,861.54553,-0.31226,-0.0115,-0.01517,-0.44563,-0.05436,-0.05341,0.4393,-0.00988,0.07329
